dir,case_id,slide_id,label
/storage/Pathology/Patches/ACROBAT2023,119_KI67,119_KI67,OnlyForAggerator
/storage/Pathology/Patches/ACROBAT2023,153_HE,153_HE,OnlyForAggerator
/storage/Pathology/Patches/ACROBAT2023,103_KI67,103_KI67,OnlyForAggerator
/storage/Pathology/Patches/ACROBAT2023,106_ER,106_ER,OnlyForAggerator
/storage/Pathology/Patches/ACROBAT2023,167_HE,167_HE,OnlyForAggerator
/storage/Pathology/Patches/ACROBAT2023,122_HER2,122_HER2,OnlyForAggerator
/storage/Pathology/Patches/ACROBAT2023,156_HE,156_HE,OnlyForAggerator
/storage/Pathology/Patches/ACROBAT2023,162_HE,162_HE,OnlyForAggerator
/storage/Pathology/Patches/ACROBAT2023,169_HE,169_HE,OnlyForAggerator
/storage/Pathology/Patches/ACROBAT2023,144_PGR,144_PGR,OnlyForAggerator
/storage/Pathology/Patches/ACROBAT2023,202_HE,202_HE,OnlyForAggerator
/storage/Pathology/Patches/ACROBAT2023,100_PGR,100_PGR,OnlyForAggerator
/storage/Pathology/Patches/ACROBAT2023,195_HE,195_HE,OnlyForAggerator
/storage/Pathology/Patches/ACROBAT2023,100_HE,100_HE,OnlyForAggerator
/storage/Pathology/Patches/ACROBAT2023,144_KI67,144_KI67,OnlyForAggerator
/storage/Pathology/Patches/ACROBAT2023,177_ER,177_ER,OnlyForAggerator
/storage/Pathology/Patches/ACROBAT2023,197_HE,197_HE,OnlyForAggerator
/storage/Pathology/Patches/ACROBAT2023,174_HE,174_HE,OnlyForAggerator
/storage/Pathology/Patches/ACROBAT2023,165_KI67,165_KI67,OnlyForAggerator
/storage/Pathology/Patches/ACROBAT2023,168_KI67,168_KI67,OnlyForAggerator
/storage/Pathology/Patches/ACROBAT2023,178_PGR,178_PGR,OnlyForAggerator
/storage/Pathology/Patches/ACROBAT2023,204_HE,204_HE,OnlyForAggerator
/storage/Pathology/Patches/ACROBAT2023,115_ER,115_ER,OnlyForAggerator
/storage/Pathology/Patches/ACROBAT2023,165_PGR,165_PGR,OnlyForAggerator
/storage/Pathology/Patches/ACROBAT2023,147_KI67,147_KI67,OnlyForAggerator
/storage/Pathology/Patches/ACROBAT2023,174_ER,174_ER,OnlyForAggerator
/storage/Pathology/Patches/ACROBAT2023,118_HE,118_HE,OnlyForAggerator
/storage/Pathology/Patches/ACROBAT2023,161_HE,161_HE,OnlyForAggerator
/storage/Pathology/Patches/ACROBAT2023,127_KI67,127_KI67,OnlyForAggerator
/storage/Pathology/Patches/ACROBAT2023,162_ER,162_ER,OnlyForAggerator
/storage/Pathology/Patches/ACROBAT2023,159_HE,159_HE,OnlyForAggerator
/storage/Pathology/Patches/ACROBAT2023,160_KI67,160_KI67,OnlyForAggerator
/storage/Pathology/Patches/ACROBAT2023,160_HE,160_HE,OnlyForAggerator
/storage/Pathology/Patches/ACROBAT2023,18_HE,18_HE,OnlyForAggerator
/storage/Pathology/Patches/ACROBAT2023,115_HE,115_HE,OnlyForAggerator
/storage/Pathology/Patches/ACROBAT2023,174_PGR,174_PGR,OnlyForAggerator
/storage/Pathology/Patches/ACROBAT2023,172_ER,172_ER,OnlyForAggerator
/storage/Pathology/Patches/ACROBAT2023,159_PGR,159_PGR,OnlyForAggerator
/storage/Pathology/Patches/ACROBAT2023,152_PGR,152_PGR,OnlyForAggerator
/storage/Pathology/Patches/ACROBAT2023,152_HE,152_HE,OnlyForAggerator
/storage/Pathology/Patches/ACROBAT2023,140_ER,140_ER,OnlyForAggerator
/storage/Pathology/Patches/ACROBAT2023,178_HE,178_HE,OnlyForAggerator
/storage/Pathology/Patches/ACROBAT2023,119_HE,119_HE,OnlyForAggerator
/storage/Pathology/Patches/ACROBAT2023,156_PGR,156_PGR,OnlyForAggerator
/storage/Pathology/Patches/ACROBAT2023,141_KI67,141_KI67,OnlyForAggerator
/storage/Pathology/Patches/ACROBAT2023,205_HE,205_HE,OnlyForAggerator
/storage/Pathology/Patches/ACROBAT2023,102_HER2,102_HER2,OnlyForAggerator
/storage/Pathology/Patches/ACROBAT2023,194_HE,194_HE,OnlyForAggerator
/storage/Pathology/Patches/ACROBAT2023,140_PGR,140_PGR,OnlyForAggerator
/storage/Pathology/Patches/ACROBAT2023,140_HER2,140_HER2,OnlyForAggerator
/storage/Pathology/Patches/ACROBAT2023,140_HE,140_HE,OnlyForAggerator
/storage/Pathology/Patches/ACROBAT2023,115_HER2,115_HER2,OnlyForAggerator
/storage/Pathology/Patches/ACROBAT2023,160_PGR,160_PGR,OnlyForAggerator
/storage/Pathology/Patches/ACROBAT2023,153_PGR,153_PGR,OnlyForAggerator
/storage/Pathology/Patches/ACROBAT2023,120_HE,120_HE,OnlyForAggerator
/storage/Pathology/Patches/ACROBAT2023,14_HE,14_HE,OnlyForAggerator
/storage/Pathology/Patches/ACROBAT2023,147_PGR,147_PGR,OnlyForAggerator
/storage/Pathology/Patches/ACROBAT2023,165_HE,165_HE,OnlyForAggerator
/storage/Pathology/Patches/ACROBAT2023,178_KI67,178_KI67,OnlyForAggerator
/storage/Pathology/Patches/ACROBAT2023,115_KI67,115_KI67,OnlyForAggerator
/storage/Pathology/Patches/ACROBAT2023,189_HE,189_HE,OnlyForAggerator
/storage/Pathology/Patches/ACROBAT2023,161_KI67,161_KI67,OnlyForAggerator
/storage/Pathology/Patches/ACROBAT2023,177_HE,177_HE,OnlyForAggerator
/storage/Pathology/Patches/ACROBAT2023,144_ER,144_ER,OnlyForAggerator
/storage/Pathology/Patches/ACROBAT2023,147_ER,147_ER,OnlyForAggerator
/storage/Pathology/Patches/ACROBAT2023,195_ER,195_ER,OnlyForAggerator
/storage/Pathology/Patches/ACROBAT2023,190_HE,190_HE,OnlyForAggerator
/storage/Pathology/Patches/ACROBAT2023,106_HE,106_HE,OnlyForAggerator
/storage/Pathology/Patches/ACROBAT2023,152_KI67,152_KI67,OnlyForAggerator
/storage/Pathology/Patches/ACROBAT2023,160_ER,160_ER,OnlyForAggerator
/storage/Pathology/Patches/ACROBAT2023,13_PGR,13_PGR,OnlyForAggerator
/storage/Pathology/Patches/ACROBAT2023,122_HE,122_HE,OnlyForAggerator
/storage/Pathology/Patches/ACROBAT2023,156_KI67,156_KI67,OnlyForAggerator
/storage/Pathology/Patches/ACROBAT2023,197_ER,197_ER,OnlyForAggerator
/storage/Pathology/Patches/ACROBAT2023,122_ER,122_ER,OnlyForAggerator
/storage/Pathology/Patches/ACROBAT2023,184_PGR,184_PGR,OnlyForAggerator
/storage/Pathology/Patches/ACROBAT2023,180_KI67,180_KI67,OnlyForAggerator
