dir,case_id,slide_id,label
/storage/Pathology/Patches/CPTAC__CCRCC,C3N-01078-27,C3N-01078-27,OnlyForAggerator
/storage/Pathology/Patches/CPTAC__CCRCC,C3N-00314-22,C3N-00314-22,OnlyForAggerator
/storage/Pathology/Patches/CPTAC__CCRCC,C3N-01524-21,C3N-01524-21,OnlyForAggerator
/storage/Pathology/Patches/CPTAC__CCRCC,C3N-01083-27,C3N-01083-27,OnlyForAggerator
/storage/Pathology/Patches/CPTAC__CCRCC,C3L-00813-22,C3L-00813-22,OnlyForAggerator
/storage/Pathology/Patches/CPTAC__CCRCC,C3N-01361-26,C3N-01361-26,OnlyForAggerator
/storage/Pathology/Patches/CPTAC__CCRCC,C3N-00148-24,C3N-00148-24,OnlyForAggerator
/storage/Pathology/Patches/CPTAC__CCRCC,C3L-02551-21,C3L-02551-21,OnlyForAggerator
/storage/Pathology/Patches/CPTAC__CCRCC,C3N-00491-25,C3N-00491-25,OnlyForAggerator
/storage/Pathology/Patches/CPTAC__CCRCC,C3N-00194-22,C3N-00194-22,OnlyForAggerator
/storage/Pathology/Patches/CPTAC__CCRCC,C3L-00583-23,C3L-00583-23,OnlyForAggerator
/storage/Pathology/Patches/CPTAC__CCRCC,C3N-02945-26,C3N-02945-26,OnlyForAggerator
/storage/Pathology/Patches/CPTAC__CCRCC,C3L-00980-22,C3L-00980-22,OnlyForAggerator
/storage/Pathology/Patches/CPTAC__CCRCC,C3N-01077-22,C3N-01077-22,OnlyForAggerator
/storage/Pathology/Patches/CPTAC__CCRCC,C3L-01861-22,C3L-01861-22,OnlyForAggerator
/storage/Pathology/Patches/CPTAC__CCRCC,C3L-00165-23,C3L-00165-23,OnlyForAggerator
/storage/Pathology/Patches/CPTAC__CCRCC,C3N-01082-22,C3N-01082-22,OnlyForAggerator
/storage/Pathology/Patches/CPTAC__CCRCC,C3N-02263-21,C3N-02263-21,OnlyForAggerator
/storage/Pathology/Patches/CPTAC__CCRCC,C3L-00969-22,C3L-00969-22,OnlyForAggerator
/storage/Pathology/Patches/CPTAC__CCRCC,C3N-01806-26,C3N-01806-26,OnlyForAggerator
/storage/Pathology/Patches/CPTAC__CCRCC,C3N-02015-22,C3N-02015-22,OnlyForAggerator
/storage/Pathology/Patches/CPTAC__CCRCC,C3L-00360-22,C3L-00360-22,OnlyForAggerator
/storage/Pathology/Patches/CPTAC__CCRCC,C3N-00435-21,C3N-00435-21,OnlyForAggerator
/storage/Pathology/Patches/CPTAC__CCRCC,C3N-01657-23,C3N-01657-23,OnlyForAggerator
/storage/Pathology/Patches/CPTAC__CCRCC,C3N-00646-26,C3N-00646-26,OnlyForAggerator
/storage/Pathology/Patches/CPTAC__CCRCC,C3N-00573-27,C3N-00573-27,OnlyForAggerator
/storage/Pathology/Patches/CPTAC__CCRCC,C3L-01882-21,C3L-01882-21,OnlyForAggerator
/storage/Pathology/Patches/CPTAC__CCRCC,C3N-02431-22,C3N-02431-22,OnlyForAggerator
/storage/Pathology/Patches/CPTAC__CCRCC,C3L-00448-21,C3L-00448-21,OnlyForAggerator
/storage/Pathology/Patches/CPTAC__CCRCC,C3L-00969-23,C3L-00969-23,OnlyForAggerator
/storage/Pathology/Patches/CPTAC__CCRCC,C3N-01077-23,C3N-01077-23,OnlyForAggerator
/storage/Pathology/Patches/CPTAC__CCRCC,C3N-02005-22,C3N-02005-22,OnlyForAggerator
/storage/Pathology/Patches/CPTAC__CCRCC,C3L-00416-26,C3L-00416-26,OnlyForAggerator
/storage/Pathology/Patches/CPTAC__CCRCC,C3N-01086-23,C3N-01086-23,OnlyForAggerator
/storage/Pathology/Patches/CPTAC__CCRCC,C3L-00096-26,C3L-00096-26,OnlyForAggerator
/storage/Pathology/Patches/CPTAC__CCRCC,C3L-00359-22,C3L-00359-22,OnlyForAggerator
/storage/Pathology/Patches/CPTAC__CCRCC,C3N-01086-22,C3N-01086-22,OnlyForAggerator
/storage/Pathology/Patches/CPTAC__CCRCC,C3N-00320-22,C3N-00320-22,OnlyForAggerator
/storage/Pathology/Patches/CPTAC__CCRCC,C3L-00910-22,C3L-00910-22,OnlyForAggerator
/storage/Pathology/Patches/CPTAC__CCRCC,C3L-00183-22,C3L-00183-22,OnlyForAggerator
/storage/Pathology/Patches/CPTAC__CCRCC,C3N-01213-22,C3N-01213-22,OnlyForAggerator
/storage/Pathology/Patches/CPTAC__CCRCC,C3N-00244-23,C3N-00244-23,OnlyForAggerator
/storage/Pathology/Patches/CPTAC__CCRCC,C3L-00606-23,C3L-00606-23,OnlyForAggerator
/storage/Pathology/Patches/CPTAC__CCRCC,C3N-01085-26,C3N-01085-26,OnlyForAggerator
/storage/Pathology/Patches/CPTAC__CCRCC,C3L-01836-22,C3L-01836-22,OnlyForAggerator
/storage/Pathology/Patches/CPTAC__CCRCC,C3N-02945-27,C3N-02945-27,OnlyForAggerator
/storage/Pathology/Patches/CPTAC__CCRCC,C3L-00907-22,C3L-00907-22,OnlyForAggerator
/storage/Pathology/Patches/CPTAC__CCRCC,C3L-01107-27,C3L-01107-27,OnlyForAggerator
/storage/Pathology/Patches/CPTAC__CCRCC,C3L-02201-21,C3L-02201-21,OnlyForAggerator
/storage/Pathology/Patches/CPTAC__CCRCC,C3L-01861-21,C3L-01861-21,OnlyForAggerator
/storage/Pathology/Patches/CPTAC__CCRCC,C3N-00310-22,C3N-00310-22,OnlyForAggerator
/storage/Pathology/Patches/CPTAC__CCRCC,C3L-01283-21,C3L-01283-21,OnlyForAggerator
/storage/Pathology/Patches/CPTAC__CCRCC,C3N-00577-21,C3N-00577-21,OnlyForAggerator
/storage/Pathology/Patches/CPTAC__CCRCC,C3N-01655-22,C3N-01655-22,OnlyForAggerator
/storage/Pathology/Patches/CPTAC__CCRCC,C3L-01033-22,C3L-01033-22,OnlyForAggerator
/storage/Pathology/Patches/CPTAC__CCRCC,C3N-00150-26,C3N-00150-26,OnlyForAggerator
/storage/Pathology/Patches/CPTAC__CCRCC,C3N-02723-23,C3N-02723-23,OnlyForAggerator
