dir,case_id,slide_id,label
/storage/Pathology/Patches/CPTAC__LUAD,C3N-02152-21,C3N-02152-21,OnlyForAggerator
/storage/Pathology/Patches/CPTAC__LUAD,C3N-00223-21,C3N-00223-21,OnlyForAggerator
/storage/Pathology/Patches/CPTAC__LUAD,C3N-02421-22,C3N-02421-22,OnlyForAggerator
/storage/Pathology/Patches/CPTAC__LUAD,C3L-04031-22,C3L-04031-22,OnlyForAggerator
/storage/Pathology/Patches/CPTAC__LUAD,C3N-01488-26,C3N-01488-26,OnlyForAggerator
/storage/Pathology/Patches/CPTAC__LUAD,C3N-00959-22,C3N-00959-22,OnlyForAggerator
/storage/Pathology/Patches/CPTAC__LUAD,C3N-02152-26,C3N-02152-26,OnlyForAggerator
/storage/Pathology/Patches/CPTAC__LUAD,C3N-01410-21,C3N-01410-21,OnlyForAggerator
/storage/Pathology/Patches/CPTAC__LUAD,C3N-00223-26,C3N-00223-26,OnlyForAggerator
/storage/Pathology/Patches/CPTAC__LUAD,C3N-00550-27,C3N-00550-27,OnlyForAggerator
/storage/Pathology/Patches/CPTAC__LUAD,C3N-02422-23,C3N-02422-23,OnlyForAggerator
/storage/Pathology/Patches/CPTAC__LUAD,C3L-02961-21,C3L-02961-21,OnlyForAggerator
/storage/Pathology/Patches/CPTAC__LUAD,C3N-02721-26,C3N-02721-26,OnlyForAggerator
/storage/Pathology/Patches/CPTAC__LUAD,C3N-01414-23,C3N-01414-23,OnlyForAggerator
/storage/Pathology/Patches/CPTAC__LUAD,C3L-04033-23,C3L-04033-23,OnlyForAggerator
/storage/Pathology/Patches/CPTAC__LUAD,C3L-03969-22,C3L-03969-22,OnlyForAggerator
/storage/Pathology/Patches/CPTAC__LUAD,C3L-00444-28,C3L-00444-28,OnlyForAggerator
/storage/Pathology/Patches/CPTAC__LUAD,C3N-00545-21,C3N-00545-21,OnlyForAggerator
/storage/Pathology/Patches/CPTAC__LUAD,C3N-01024-23,C3N-01024-23,OnlyForAggerator
/storage/Pathology/Patches/CPTAC__LUAD,C3N-02153-24,C3N-02153-24,OnlyForAggerator
/storage/Pathology/Patches/CPTAC__LUAD,C3N-00546-26,C3N-00546-26,OnlyForAggerator
/storage/Pathology/Patches/CPTAC__LUAD,C3N-02090-23,C3N-02090-23,OnlyForAggerator
/storage/Pathology/Patches/CPTAC__LUAD,C3N-02155-24,C3N-02155-24,OnlyForAggerator
/storage/Pathology/Patches/CPTAC__LUAD,C3L-03271-24,C3L-03271-24,OnlyForAggerator
/storage/Pathology/Patches/CPTAC__LUAD,C3N-02920-23,C3N-02920-23,OnlyForAggerator
/storage/Pathology/Patches/CPTAC__LUAD,C3L-04033-22,C3L-04033-22,OnlyForAggerator
/storage/Pathology/Patches/CPTAC__LUAD,C3N-01016-22,C3N-01016-22,OnlyForAggerator
/storage/Pathology/Patches/CPTAC__LUAD,C3N-01489-23,C3N-01489-23,OnlyForAggerator
/storage/Pathology/Patches/CPTAC__LUAD,C3N-02237-26,C3N-02237-26,OnlyForAggerator
/storage/Pathology/Patches/CPTAC__LUAD,C3N-01071-27,C3N-01071-27,OnlyForAggerator
/storage/Pathology/Patches/CPTAC__LUAD,C3L-00893-21,C3L-00893-21,OnlyForAggerator
/storage/Pathology/Patches/CPTAC__LUAD,C3N-02002-21,C3N-02002-21,OnlyForAggerator
/storage/Pathology/Patches/CPTAC__LUAD,C3L-03679-22,C3L-03679-22,OnlyForAggerator
/storage/Pathology/Patches/CPTAC__LUAD,C3N-03929-22,C3N-03929-22,OnlyForAggerator
/storage/Pathology/Patches/CPTAC__LUAD,C3N-02926-22,C3N-02926-22,OnlyForAggerator
/storage/Pathology/Patches/CPTAC__LUAD,C3N-01414-22,C3N-01414-22,OnlyForAggerator
/storage/Pathology/Patches/CPTAC__LUAD,C3N-04168-22,C3N-04168-22,OnlyForAggerator
/storage/Pathology/Patches/CPTAC__LUAD,C3N-02764-23,C3N-02764-23,OnlyForAggerator
/storage/Pathology/Patches/CPTAC__LUAD,C3N-01071-24,C3N-01071-24,OnlyForAggerator
/storage/Pathology/Patches/CPTAC__LUAD,C3N-02950-26,C3N-02950-26,OnlyForAggerator
/storage/Pathology/Patches/CPTAC__LUAD,C3N-01419-21,C3N-01419-21,OnlyForAggerator
/storage/Pathology/Patches/CPTAC__LUAD,C3N-03233-21,C3N-03233-21,OnlyForAggerator
/storage/Pathology/Patches/CPTAC__LUAD,C3L-02365-25,C3L-02365-25,OnlyForAggerator
/storage/Pathology/Patches/CPTAC__LUAD,C3N-02193-21,C3N-02193-21,OnlyForAggerator
/storage/Pathology/Patches/CPTAC__LUAD,C3N-02089-24,C3N-02089-24,OnlyForAggerator
/storage/Pathology/Patches/CPTAC__LUAD,C3L-04757-26,C3L-04757-26,OnlyForAggerator
/storage/Pathology/Patches/CPTAC__LUAD,C3N-02433-21,C3N-02433-21,OnlyForAggerator
/storage/Pathology/Patches/CPTAC__LUAD,C3N-02003-23,C3N-02003-23,OnlyForAggerator
/storage/Pathology/Patches/CPTAC__LUAD,C3N-02152-24,C3N-02152-24,OnlyForAggerator
/storage/Pathology/Patches/CPTAC__LUAD,C3N-04616-21,C3N-04616-21,OnlyForAggerator
/storage/Pathology/Patches/CPTAC__LUAD,C3L-03976-28,C3L-03976-28,OnlyForAggerator
/storage/Pathology/Patches/CPTAC__LUAD,C3N-00572-22,C3N-00572-22,OnlyForAggerator
/storage/Pathology/Patches/CPTAC__LUAD,C3N-03765-29,C3N-03765-29,OnlyForAggerator
/storage/Pathology/Patches/CPTAC__LUAD,C3N-00169-22,C3N-00169-22,OnlyForAggerator
/storage/Pathology/Patches/CPTAC__LUAD,C3N-01416-22,C3N-01416-22,OnlyForAggerator
/storage/Pathology/Patches/CPTAC__LUAD,C3L-02165-21,C3L-02165-21,OnlyForAggerator
/storage/Pathology/Patches/CPTAC__LUAD,C3L-03969-28,C3L-03969-28,OnlyForAggerator
