dir,case_id,slide_id,label
/storage/Pathology/Patches/SLN-Breast,HobI17-176780238278,HobI17-176780238278,OnlyForAggerator
/storage/Pathology/Patches/SLN-Breast,HobI17-036398431404,HobI17-036398431404,OnlyForAggerator
/storage/Pathology/Patches/SLN-Breast,HobI16-850322983160,HobI16-850322983160,OnlyForAggerator
/storage/Pathology/Patches/SLN-Breast,HobI17-054246972264,HobI17-054246972264,OnlyForAggerator
/storage/Pathology/Patches/SLN-Breast,HobI18-711038761484,HobI18-711038761484,OnlyForAggerator
/storage/Pathology/Patches/SLN-Breast,HobI17-425397955012,HobI17-425397955012,OnlyForAggerator
/storage/Pathology/Patches/SLN-Breast,HobI17-219470745199,HobI17-219470745199,OnlyForAggerator
/storage/Pathology/Patches/SLN-Breast,HobI18-323369624610,HobI18-323369624610,OnlyForAggerator
/storage/Pathology/Patches/SLN-Breast,HobI17-876230315187,HobI17-876230315187,OnlyForAggerator
/storage/Pathology/Patches/SLN-Breast,HobI17-458471686651,HobI17-458471686651,OnlyForAggerator
/storage/Pathology/Patches/SLN-Breast,HobI17-848084691666,HobI17-848084691666,OnlyForAggerator
/storage/Pathology/Patches/SLN-Breast,HobI17-440719796933,HobI17-440719796933,OnlyForAggerator
/storage/Pathology/Patches/SLN-Breast,HobI17-812250131208,HobI17-812250131208,OnlyForAggerator
/storage/Pathology/Patches/SLN-Breast,HobI18-155976821520,HobI18-155976821520,OnlyForAggerator
/storage/Pathology/Patches/SLN-Breast,HobI18-246204354838,HobI18-246204354838,OnlyForAggerator
/storage/Pathology/Patches/SLN-Breast,HobI17-681327099314,HobI17-681327099314,OnlyForAggerator
/storage/Pathology/Patches/SLN-Breast,HobI17-476054943119,HobI17-476054943119,OnlyForAggerator
/storage/Pathology/Patches/SLN-Breast,HobI18-264942777411,HobI18-264942777411,OnlyForAggerator
/storage/Pathology/Patches/SLN-Breast,HobI18-987777882592,HobI18-987777882592,OnlyForAggerator
/storage/Pathology/Patches/SLN-Breast,HobI17-553581330459,HobI17-553581330459,OnlyForAggerator
/storage/Pathology/Patches/SLN-Breast,HobI18-789815111269,HobI18-789815111269,OnlyForAggerator
/storage/Pathology/Patches/SLN-Breast,HobI17-558005179666,HobI17-558005179666,OnlyForAggerator
/storage/Pathology/Patches/SLN-Breast,HobI18-386778904831,HobI18-386778904831,OnlyForAggerator
/storage/Pathology/Patches/SLN-Breast,HobI18-522858288490,HobI18-522858288490,OnlyForAggerator
