dir,case_id,slide_id,label
/storage/Pathology/Patches/TCGA__MESO,TCGA-LK-A4O7-01Z-00-DX1.C097DA83-39E4-468C-98CB-8F7D8802E7D5,TCGA-LK-A4O7-01Z-00-DX1.C097DA83-39E4-468C-98CB-8F7D8802E7D5,OnlyForAggerator
/storage/Pathology/Patches/TCGA__MESO,TCGA-LK-A4NY-01Z-00-DX1.4967FC6B-411E-4447-B114-A64F164B0E04,TCGA-LK-A4NY-01Z-00-DX1.4967FC6B-411E-4447-B114-A64F164B0E04,OnlyForAggerator
/storage/Pathology/Patches/TCGA__MESO,TCGA-3H-AB3S-01Z-00-DX2.943D90C4-82AC-4ECE-982A-E4DFF72B03BB,TCGA-3H-AB3S-01Z-00-DX2.943D90C4-82AC-4ECE-982A-E4DFF72B03BB,OnlyForAggerator
/storage/Pathology/Patches/TCGA__MESO,TCGA-UT-A88C-01Z-00-DX3.A761E40B-50C2-4157-BE06-52095FD4FAF6,TCGA-UT-A88C-01Z-00-DX3.A761E40B-50C2-4157-BE06-52095FD4FAF6,OnlyForAggerator
/storage/Pathology/Patches/TCGA__MESO,TCGA-ZN-A9VU-01Z-00-DX1.05957B52-B0F0-45BC-AE2E-821F257E1BD5,TCGA-ZN-A9VU-01Z-00-DX1.05957B52-B0F0-45BC-AE2E-821F257E1BD5,OnlyForAggerator
/storage/Pathology/Patches/TCGA__MESO,TCGA-YS-A95C-01Z-00-DX1.FCAE7A66-7E0C-4406-BBF3-E938EB196875,TCGA-YS-A95C-01Z-00-DX1.FCAE7A66-7E0C-4406-BBF3-E938EB196875,OnlyForAggerator
/storage/Pathology/Patches/TCGA__MESO,TCGA-ZN-A9VV-01Z-00-DX1.EA8BD141-90F1-47C9-B97E-65EEDF7613BE,TCGA-ZN-A9VV-01Z-00-DX1.EA8BD141-90F1-47C9-B97E-65EEDF7613BE,OnlyForAggerator
/storage/Pathology/Patches/TCGA__MESO,TCGA-3H-AB3X-01Z-00-DX1.1EF5CB2E-61DF-4BB3-903C-D5F6488DE985,TCGA-3H-AB3X-01Z-00-DX1.1EF5CB2E-61DF-4BB3-903C-D5F6488DE985,OnlyForAggerator
/storage/Pathology/Patches/TCGA__MESO,TCGA-TS-A7P6-01Z-00-DX1.0C2B22D5-27C7-4A7E-80B3-F2E7CC26CA01,TCGA-TS-A7P6-01Z-00-DX1.0C2B22D5-27C7-4A7E-80B3-F2E7CC26CA01,OnlyForAggerator
/storage/Pathology/Patches/TCGA__MESO,TCGA-UT-A88D-01Z-00-DX2.AE0B6725-767E-4E45-A34D-3BC8F1CBE923,TCGA-UT-A88D-01Z-00-DX2.AE0B6725-767E-4E45-A34D-3BC8F1CBE923,OnlyForAggerator
/storage/Pathology/Patches/TCGA__MESO,TCGA-YS-AA4M-01Z-00-DX1.01220286-CBBD-410C-839C-83BFAF957A44,TCGA-YS-AA4M-01Z-00-DX1.01220286-CBBD-410C-839C-83BFAF957A44,OnlyForAggerator
