dir,case_id,slide_id,label
/storage/Pathology/Patches/TIGER2021,TC_S01_P000072_C0001_B101,TC_S01_P000072_C0001_B101,OnlyForAggerator
/storage/Pathology/Patches/TIGER2021,TC_S01_P000100_C0001_B101,TC_S01_P000100_C0001_B101,OnlyForAggerator
/storage/Pathology/Patches/TIGER2021,119S,119S,OnlyForAggerator
/storage/Pathology/Patches/TIGER2021,TC_S01_P000150_C0001_B101,TC_S01_P000150_C0001_B101,OnlyForAggerator
/storage/Pathology/Patches/TIGER2021,TC_S01_P000109_C0001_B101,TC_S01_P000109_C0001_B101,OnlyForAggerator
/storage/Pathology/Patches/TIGER2021,TC_S01_P000031_C0001_B126,TC_S01_P000031_C0001_B126,OnlyForAggerator
/storage/Pathology/Patches/TIGER2021,197B,197B,OnlyForAggerator
/storage/Pathology/Patches/TIGER2021,108S,108S,OnlyForAggerator
/storage/Pathology/Patches/TIGER2021,TC_S01_P000167_C0001_B101,TC_S01_P000167_C0001_B101,OnlyForAggerator
/storage/Pathology/Patches/TIGER2021,TC_S01_P000034_C0001_B101,TC_S01_P000034_C0001_B101,OnlyForAggerator
/storage/Pathology/Patches/TIGER2021,227S,227S,OnlyForAggerator
/storage/Pathology/Patches/TIGER2021,195S,195S,OnlyForAggerator
/storage/Pathology/Patches/TIGER2021,TC_S01_P000129_C0001_B101,TC_S01_P000129_C0001_B101,OnlyForAggerator
/storage/Pathology/Patches/TIGER2021,170S,170S,OnlyForAggerator
/storage/Pathology/Patches/TIGER2021,177B,177B,OnlyForAggerator
/storage/Pathology/Patches/TIGER2021,247B,247B,OnlyForAggerator
/storage/Pathology/Patches/TIGER2021,156S,156S,OnlyForAggerator
/storage/Pathology/Patches/TIGER2021,TC_S01_P000155_C0001_B101,TC_S01_P000155_C0001_B101,OnlyForAggerator
/storage/Pathology/Patches/TIGER2021,159S,159S,OnlyForAggerator
/storage/Pathology/Patches/TIGER2021,TC_S01_P000153_C0001_B109,TC_S01_P000153_C0001_B109,OnlyForAggerator
/storage/Pathology/Patches/TIGER2021,249B,249B,OnlyForAggerator
/storage/Pathology/Patches/TIGER2021,TC_S01_P000061_C0001_B101,TC_S01_P000061_C0001_B101,OnlyForAggerator
/storage/Pathology/Patches/TIGER2021,TC_S01_P000090_C0001_B101,TC_S01_P000090_C0001_B101,OnlyForAggerator
/storage/Pathology/Patches/TIGER2021,144S,144S,OnlyForAggerator
/storage/Pathology/Patches/TIGER2021,173B,173B,OnlyForAggerator
/storage/Pathology/Patches/TIGER2021,TC_S01_P000073_C0001_B101,TC_S01_P000073_C0001_B101,OnlyForAggerator
/storage/Pathology/Patches/TIGER2021,TC_S01_P000023_C0001_B204,TC_S01_P000023_C0001_B204,OnlyForAggerator
/storage/Pathology/Patches/TIGER2021,TC_S01_P000103_C0001_B101,TC_S01_P000103_C0001_B101,OnlyForAggerator
/storage/Pathology/Patches/TIGER2021,TC_S01_P000059_C0001_B101,TC_S01_P000059_C0001_B101,OnlyForAggerator
/storage/Pathology/Patches/TIGER2021,TC_S01_P000082_C0001_B101,TC_S01_P000082_C0001_B101,OnlyForAggerator
/storage/Pathology/Patches/TIGER2021,238S,238S,OnlyForAggerator
/storage/Pathology/Patches/TIGER2021,107S,107S,OnlyForAggerator
/storage/Pathology/Patches/TIGER2021,TC_S01_P000058_C0001_B101,TC_S01_P000058_C0001_B101,OnlyForAggerator
