dir,case_id,slide_id,label
/storage/Pathology/Patches/TUPAC16,TUPAC-TR-034,TUPAC-TR-034,OnlyForAggerator
/storage/Pathology/Patches/TUPAC16,TUPAC-TR-431,TUPAC-TR-431,OnlyForAggerator
/storage/Pathology/Patches/TUPAC16,TUPAC-TR-095,TUPAC-TR-095,OnlyForAggerator
/storage/Pathology/Patches/TUPAC16,TUPAC-TR-174,TUPAC-TR-174,OnlyForAggerator
/storage/Pathology/Patches/TUPAC16,TUPAC-TR-203,TUPAC-TR-203,OnlyForAggerator
/storage/Pathology/Patches/TUPAC16,TUPAC-TR-423,TUPAC-TR-423,OnlyForAggerator
/storage/Pathology/Patches/TUPAC16,TUPAC-TR-195,TUPAC-TR-195,OnlyForAggerator
/storage/Pathology/Patches/TUPAC16,TUPAC-TR-222,TUPAC-TR-222,OnlyForAggerator
/storage/Pathology/Patches/TUPAC16,TUPAC-TR-011,TUPAC-TR-011,OnlyForAggerator
/storage/Pathology/Patches/TUPAC16,TUPAC-TR-138,TUPAC-TR-138,OnlyForAggerator
/storage/Pathology/Patches/TUPAC16,TUPAC-TR-160,TUPAC-TR-160,OnlyForAggerator
/storage/Pathology/Patches/TUPAC16,TUPAC-TR-341,TUPAC-TR-341,OnlyForAggerator
/storage/Pathology/Patches/TUPAC16,TUPAC-TR-162,TUPAC-TR-162,OnlyForAggerator
/storage/Pathology/Patches/TUPAC16,TUPAC-TR-212,TUPAC-TR-212,OnlyForAggerator
/storage/Pathology/Patches/TUPAC16,TUPAC-TR-360,TUPAC-TR-360,OnlyForAggerator
/storage/Pathology/Patches/TUPAC16,TUPAC-TR-176,TUPAC-TR-176,OnlyForAggerator
/storage/Pathology/Patches/TUPAC16,TUPAC-TR-239,TUPAC-TR-239,OnlyForAggerator
/storage/Pathology/Patches/TUPAC16,TUPAC-TR-307,TUPAC-TR-307,OnlyForAggerator
/storage/Pathology/Patches/TUPAC16,TUPAC-TR-241,TUPAC-TR-241,OnlyForAggerator
/storage/Pathology/Patches/TUPAC16,TUPAC-TR-141,TUPAC-TR-141,OnlyForAggerator
/storage/Pathology/Patches/TUPAC16,TUPAC-TR-314,TUPAC-TR-314,OnlyForAggerator
/storage/Pathology/Patches/TUPAC16,TUPAC-TR-393,TUPAC-TR-393,OnlyForAggerator
/storage/Pathology/Patches/TUPAC16,TUPAC-TR-255,TUPAC-TR-255,OnlyForAggerator
/storage/Pathology/Patches/TUPAC16,TUPAC-TR-399,TUPAC-TR-399,OnlyForAggerator
/storage/Pathology/Patches/TUPAC16,TUPAC-TR-036,TUPAC-TR-036,OnlyForAggerator
/storage/Pathology/Patches/TUPAC16,TUPAC-TR-415,TUPAC-TR-415,OnlyForAggerator
/storage/Pathology/Patches/TUPAC16,TUPAC-TR-289,TUPAC-TR-289,OnlyForAggerator
/storage/Pathology/Patches/TUPAC16,TUPAC-TR-266,TUPAC-TR-266,OnlyForAggerator
/storage/Pathology/Patches/TUPAC16,TUPAC-TR-102,TUPAC-TR-102,OnlyForAggerator
/storage/Pathology/Patches/TUPAC16,TUPAC-TR-439,TUPAC-TR-439,OnlyForAggerator
/storage/Pathology/Patches/TUPAC16,TUPAC-TR-085,TUPAC-TR-085,OnlyForAggerator
/storage/Pathology/Patches/TUPAC16,TUPAC-TR-285,TUPAC-TR-285,OnlyForAggerator
/storage/Pathology/Patches/TUPAC16,TUPAC-TR-073,TUPAC-TR-073,OnlyForAggerator
/storage/Pathology/Patches/TUPAC16,TUPAC-TR-413,TUPAC-TR-413,OnlyForAggerator
/storage/Pathology/Patches/TUPAC16,TUPAC-TR-389,TUPAC-TR-389,OnlyForAggerator
