,train,val,test
0,2,444,468
1,4,619,813
2,5,362,46
3,6,687,28
4,13,192,771
5,41,969,924
6,44,910,942
7,48,31,393
8,49,692,370
9,52,681,148
10,53,840,582
11,57,334,809
12,64,254,682
13,69,746,423
14,77,262,603
15,80,161,996
16,84,98,999
17,96,449,400
18,97,309,587
19,100,606,847
20,104,109,518
21,107,1037,1016
22,110,1006,438
23,116,693,289
24,119,124,576
25,130,1030,562
26,131,1052,550
27,147,655,408
28,149,204,980
29,151,59,357
30,155,788,717
31,156,710,122
32,162,330,347
33,165,315,65
34,176,381,86
35,177,445,201
36,189,261,862
37,193,8,348
38,198,952,26
39,199,591,60
40,206,358,824
41,223,612,901
42,227,620,853
43,239,838,962
44,245,530,649
45,251,718,754
46,258,534,179
47,265,298,232
48,269,943,188
49,272,274,821
50,273,1020,671
51,276,229,992
52,280,3,406
53,286,1021,19
54,290,822,832
55,294,921,560
56,302,836,481
57,304,157,341
58,324,868,531
59,329,964,726
60,331,218,1024
61,337,447,654
62,338,685,825
63,343,135,786
64,345,521,202
65,349,669,417
66,353,453,950
67,355,184,35
68,359,94,145
69,369,765,483
70,371,548,288
71,374,716,494
72,380,932,819
73,382,895,798
74,383,902,317
75,387,723,1
76,392,390,894
77,396,960,1010
78,397,517,982
79,401,270,373
80,410,814,81
81,420,190,181
82,424,153,949
83,425,919,462
84,432,968,285
85,440,979,700
86,443,915,182
87,454,937,750
88,466,694,637
89,475,171,827
90,491,1029,11
91,492,29,889
92,498,984,354
93,500,40,79
94,506,503,30
95,509,1004,756
96,512,17,752
97,524,762,54
98,528,222,495
99,540,781,557
100,547,563,596
101,553,1041,648
102,556,880,437
103,559,,
104,566,,
105,568,,
106,571,,
107,575,,
108,588,,
109,590,,
110,601,,
111,604,,
112,614,,
113,621,,
114,623,,
115,627,,
116,635,,
117,640,,
118,641,,
119,646,,
120,658,,
121,661,,
122,673,,
123,695,,
124,696,,
125,703,,
126,724,,
127,728,,
128,730,,
129,741,,
130,743,,
131,758,,
132,760,,
133,764,,
134,774,,
135,777,,
136,782,,
137,783,,
138,794,,
139,807,,
140,816,,
141,817,,
142,828,,
143,831,,
144,834,,
145,842,,
146,844,,
147,846,,
148,854,,
149,864,,
150,865,,
151,866,,
152,870,,
153,872,,
154,879,,
155,881,,
156,888,,
157,900,,
158,904,,
159,917,,
160,918,,
161,927,,
162,939,,
163,953,,
164,954,,
165,959,,
166,961,,
167,966,,
168,993,,
169,994,,
170,997,,
171,998,,
172,1018,,
173,1019,,
174,1025,,
175,1031,,
176,1038,,
177,1040,,
178,1049,,
179,1051,,
180,7,,
181,9,,
182,10,,
183,12,,
184,14,,
185,15,,
186,16,,
187,18,,
188,20,,
189,21,,
190,22,,
191,23,,
192,24,,
193,27,,
194,32,,
195,33,,
196,34,,
197,36,,
198,37,,
199,38,,
200,39,,
201,42,,
202,43,,
203,47,,
204,50,,
205,51,,
206,55,,
207,56,,
208,58,,
209,61,,
210,62,,
211,63,,
212,66,,
213,67,,
214,68,,
215,70,,
216,71,,
217,72,,
218,73,,
219,74,,
220,75,,
221,76,,
222,78,,
223,82,,
224,83,,
225,85,,
226,87,,
227,88,,
228,89,,
229,90,,
230,91,,
231,92,,
232,93,,
233,95,,
234,99,,
235,101,,
236,102,,
237,103,,
238,105,,
239,106,,
240,111,,
241,112,,
242,113,,
243,114,,
244,115,,
245,117,,
246,118,,
247,120,,
248,121,,
249,123,,
250,125,,
251,126,,
252,127,,
253,128,,
254,129,,
255,132,,
256,133,,
257,134,,
258,136,,
259,137,,
260,138,,
261,139,,
262,140,,
263,141,,
264,142,,
265,143,,
266,144,,
267,146,,
268,150,,
269,152,,
270,154,,
271,158,,
272,159,,
273,160,,
274,163,,
275,164,,
276,166,,
277,167,,
278,168,,
279,169,,
280,170,,
281,172,,
282,173,,
283,174,,
284,175,,
285,180,,
286,183,,
287,185,,
288,186,,
289,187,,
290,191,,
291,194,,
292,196,,
293,197,,
294,200,,
295,203,,
296,205,,
297,207,,
298,208,,
299,209,,
300,210,,
301,211,,
302,212,,
303,213,,
304,214,,
305,215,,
306,216,,
307,217,,
308,219,,
309,221,,
310,224,,
311,225,,
312,226,,
313,228,,
314,230,,
315,231,,
316,233,,
317,234,,
318,235,,
319,236,,
320,237,,
321,238,,
322,240,,
323,241,,
324,242,,
325,243,,
326,244,,
327,246,,
328,247,,
329,248,,
330,249,,
331,250,,
332,252,,
333,253,,
334,255,,
335,256,,
336,257,,
337,259,,
338,260,,
339,263,,
340,264,,
341,266,,
342,267,,
343,268,,
344,271,,
345,275,,
346,277,,
347,278,,
348,281,,
349,282,,
350,283,,
351,284,,
352,287,,
353,291,,
354,293,,
355,295,,
356,296,,
357,297,,
358,299,,
359,300,,
360,301,,
361,303,,
362,305,,
363,306,,
364,308,,
365,310,,
366,311,,
367,312,,
368,313,,
369,314,,
370,316,,
371,318,,
372,319,,
373,320,,
374,321,,
375,322,,
376,323,,
377,325,,
378,326,,
379,327,,
380,328,,
381,332,,
382,333,,
383,335,,
384,336,,
385,339,,
386,340,,
387,342,,
388,344,,
389,346,,
390,350,,
391,351,,
392,352,,
393,356,,
394,360,,
395,361,,
396,363,,
397,364,,
398,365,,
399,366,,
400,367,,
401,368,,
402,372,,
403,375,,
404,376,,
405,377,,
406,378,,
407,379,,
408,384,,
409,385,,
410,386,,
411,388,,
412,389,,
413,391,,
414,394,,
415,395,,
416,398,,
417,402,,
418,403,,
419,404,,
420,405,,
421,409,,
422,411,,
423,412,,
424,413,,
425,414,,
426,416,,
427,418,,
428,419,,
429,421,,
430,422,,
431,426,,
432,427,,
433,428,,
434,429,,
435,430,,
436,431,,
437,433,,
438,434,,
439,435,,
440,436,,
441,439,,
442,441,,
443,442,,
444,446,,
445,448,,
446,450,,
447,451,,
448,452,,
449,455,,
450,456,,
451,457,,
452,458,,
453,459,,
454,460,,
455,461,,
456,463,,
457,464,,
458,465,,
459,467,,
460,469,,
461,470,,
462,471,,
463,472,,
464,474,,
465,476,,
466,477,,
467,478,,
468,479,,
469,480,,
470,482,,
471,484,,
472,485,,
473,486,,
474,487,,
475,488,,
476,489,,
477,490,,
478,493,,
479,496,,
480,497,,
481,499,,
482,501,,
483,502,,
484,504,,
485,505,,
486,507,,
487,508,,
488,510,,
489,511,,
490,513,,
491,514,,
492,515,,
493,516,,
494,520,,
495,522,,
496,523,,
497,525,,
498,526,,
499,527,,
500,529,,
501,532,,
502,533,,
503,535,,
504,536,,
505,537,,
506,538,,
507,539,,
508,541,,
509,542,,
510,543,,
511,544,,
512,545,,
513,546,,
514,549,,
515,551,,
516,552,,
517,554,,
518,555,,
519,558,,
520,561,,
521,564,,
522,565,,
523,567,,
524,569,,
525,570,,
526,572,,
527,573,,
528,574,,
529,577,,
530,578,,
531,579,,
532,580,,
533,581,,
534,583,,
535,584,,
536,585,,
537,586,,
538,589,,
539,592,,
540,593,,
541,594,,
542,595,,
543,597,,
544,598,,
545,599,,
546,600,,
547,602,,
548,605,,
549,608,,
550,609,,
551,610,,
552,611,,
553,613,,
554,615,,
555,616,,
556,617,,
557,618,,
558,622,,
559,624,,
560,625,,
561,626,,
562,628,,
563,629,,
564,630,,
565,631,,
566,632,,
567,633,,
568,634,,
569,636,,
570,638,,
571,639,,
572,642,,
573,643,,
574,644,,
575,645,,
576,647,,
577,650,,
578,651,,
