,train,val,test
2,True,False,False
4,True,False,False
5,True,False,False
6,True,False,False
13,True,False,False
41,True,False,False
44,True,False,False
48,True,False,False
49,True,False,False
52,True,False,False
53,True,False,False
57,True,False,False
64,True,False,False
69,True,False,False
77,True,False,False
80,True,False,False
84,True,False,False
96,True,False,False
97,True,False,False
100,True,False,False
104,True,False,False
107,True,False,False
110,True,False,False
116,True,False,False
119,True,False,False
130,True,False,False
131,True,False,False
147,True,False,False
149,True,False,False
151,True,False,False
155,True,False,False
156,True,False,False
162,True,False,False
165,True,False,False
176,True,False,False
177,True,False,False
189,True,False,False
193,True,False,False
198,True,False,False
199,True,False,False
206,True,False,False
223,True,False,False
227,True,False,False
239,True,False,False
245,True,False,False
251,True,False,False
258,True,False,False
265,True,False,False
269,True,False,False
272,True,False,False
273,True,False,False
276,True,False,False
280,True,False,False
286,True,False,False
290,True,False,False
294,True,False,False
302,True,False,False
304,True,False,False
324,True,False,False
329,True,False,False
331,True,False,False
337,True,False,False
338,True,False,False
343,True,False,False
345,True,False,False
349,True,False,False
353,True,False,False
355,True,False,False
359,True,False,False
369,True,False,False
371,True,False,False
374,True,False,False
380,True,False,False
382,True,False,False
383,True,False,False
387,True,False,False
392,True,False,False
396,True,False,False
397,True,False,False
401,True,False,False
410,True,False,False
420,True,False,False
424,True,False,False
425,True,False,False
432,True,False,False
440,True,False,False
443,True,False,False
454,True,False,False
466,True,False,False
475,True,False,False
491,True,False,False
492,True,False,False
498,True,False,False
500,True,False,False
506,True,False,False
509,True,False,False
512,True,False,False
524,True,False,False
528,True,False,False
540,True,False,False
547,True,False,False
553,True,False,False
556,True,False,False
559,True,False,False
566,True,False,False
568,True,False,False
571,True,False,False
575,True,False,False
588,True,False,False
590,True,False,False
601,True,False,False
604,True,False,False
614,True,False,False
621,True,False,False
623,True,False,False
627,True,False,False
635,True,False,False
640,True,False,False
641,True,False,False
646,True,False,False
658,True,False,False
661,True,False,False
673,True,False,False
695,True,False,False
696,True,False,False
703,True,False,False
724,True,False,False
728,True,False,False
730,True,False,False
741,True,False,False
743,True,False,False
758,True,False,False
760,True,False,False
764,True,False,False
774,True,False,False
777,True,False,False
782,True,False,False
783,True,False,False
794,True,False,False
807,True,False,False
816,True,False,False
817,True,False,False
828,True,False,False
831,True,False,False
834,True,False,False
842,True,False,False
844,True,False,False
846,True,False,False
854,True,False,False
864,True,False,False
865,True,False,False
866,True,False,False
870,True,False,False
872,True,False,False
879,True,False,False
881,True,False,False
888,True,False,False
900,True,False,False
904,True,False,False
917,True,False,False
918,True,False,False
927,True,False,False
939,True,False,False
953,True,False,False
954,True,False,False
959,True,False,False
961,True,False,False
966,True,False,False
993,True,False,False
994,True,False,False
997,True,False,False
998,True,False,False
1018,True,False,False
1019,True,False,False
1025,True,False,False
1031,True,False,False
1038,True,False,False
1040,True,False,False
1049,True,False,False
1051,True,False,False
7,True,False,False
9,True,False,False
10,True,False,False
12,True,False,False
14,True,False,False
15,True,False,False
16,True,False,False
18,True,False,False
20,True,False,False
21,True,False,False
22,True,False,False
23,True,False,False
24,True,False,False
27,True,False,False
