,train,val,test
0,1,396,845
1,2,207,275
2,3,219,205
3,5,750,950
4,6,753,33
5,7,664,524
6,8,70,254
7,9,833,173
8,10,374,234
9,11,1033,113
10,12,157,1007
11,13,906,462
12,14,947,420
13,16,993,330
14,17,138,580
15,18,67,265
16,19,507,433
17,20,1055,1046
18,21,767,304
19,22,390,82
20,24,309,941
21,28,1051,125
22,29,727,316
23,32,295,704
24,34,305,977
25,36,921,1026
26,38,837,332
27,39,893,103
28,41,145,15
29,44,406,419
30,47,966,26
31,48,1040,225
32,49,1002,868
33,50,240,865
34,51,1008,877
35,52,222,280
36,56,541,93
37,58,156,998
38,59,426,610
39,60,458,595
40,61,139,190
41,62,212,681
42,65,386,605
43,66,209,488
44,68,35,456
45,71,97,313
46,72,199,770
47,73,922,913
48,74,57,354
49,75,713,359
50,76,971,978
51,78,937,427
52,79,819,162
53,83,1030,266
54,85,1004,1053
55,88,916,53
56,89,666,581
57,90,1022,63
58,94,349,469
59,96,244,152
60,98,931,935
61,99,705,582
62,100,466,716
63,104,876,951
64,106,186,839
65,107,1039,859
66,109,730,1028
67,110,760,30
68,111,576,388
69,112,686,1013
70,114,153,482
71,115,187,235
72,117,455,662
73,118,844,315
74,119,699,1058
75,120,37,599
76,122,553,232
77,123,1016,611
78,126,692,342
79,127,4,393
80,128,1054,618
81,129,1018,248
82,130,439,569
83,132,728,251
84,133,638,323
85,134,183,985
86,136,547,874
87,137,612,102
88,140,636,91
89,141,838,650
90,143,974,908
91,144,355,43
92,146,23,689
93,150,412,116
94,151,603,465
95,158,476,371
96,160,888,327
97,163,233,700
98,164,155,991
99,165,372,742
100,166,537,835
101,167,81,570
102,169,696,988
103,170,,
104,171,,
105,172,,
106,174,,
107,175,,
108,176,,
109,177,,
110,179,,
111,180,,
112,181,,
113,182,,
114,184,,
115,185,,
116,188,,
117,189,,
118,191,,
119,193,,
120,194,,
121,196,,
122,198,,
123,200,,
124,202,,
125,203,,
126,210,,
127,213,,
128,214,,
129,215,,
130,217,,
131,218,,
132,221,,
133,224,,
134,226,,
135,227,,
136,229,,
137,230,,
138,231,,
139,236,,
140,241,,
141,242,,
142,247,,
143,249,,
144,250,,
145,252,,
146,255,,
147,256,,
148,257,,
149,260,,
150,261,,
151,263,,
152,264,,
153,267,,
154,268,,
155,272,,
156,273,,
157,274,,
158,277,,
159,278,,
160,281,,
161,283,,
162,284,,
163,285,,
164,286,,
165,287,,
166,291,,
167,293,,
168,297,,
169,298,,
170,299,,
171,300,,
172,301,,
173,303,,
174,306,,
175,308,,
176,310,,
177,311,,
178,312,,
179,314,,
180,318,,
181,319,,
182,322,,
183,324,,
184,325,,
185,326,,
186,328,,
187,329,,
188,331,,
189,333,,
190,335,,
191,336,,
192,337,,
193,339,,
194,340,,
195,343,,
196,346,,
197,347,,
198,348,,
199,350,,
200,351,,
201,356,,
202,357,,
203,358,,
204,360,,
205,361,,
206,362,,
207,363,,
208,365,,
209,366,,
210,367,,
211,368,,
212,369,,
213,370,,
214,373,,
215,375,,
216,376,,
217,377,,
218,378,,
219,379,,
220,380,,
221,381,,
222,384,,
223,385,,
224,387,,
225,391,,
226,392,,
227,394,,
228,395,,
229,398,,
230,400,,
231,401,,
232,402,,
233,403,,
234,405,,
235,408,,
236,409,,
237,410,,
238,413,,
239,414,,
240,421,,
241,422,,
242,423,,
243,424,,
244,425,,
245,428,,
246,429,,
247,430,,
248,431,,
249,432,,
250,434,,
251,435,,
252,436,,
253,437,,
254,438,,
255,440,,
256,441,,
257,442,,
258,443,,
259,445,,
260,446,,
261,447,,
262,448,,
263,449,,
264,450,,
265,451,,
266,453,,
267,454,,
268,459,,
269,460,,
270,461,,
271,463,,
272,467,,
273,471,,
274,472,,
275,474,,
276,475,,
277,477,,
278,478,,
279,479,,
280,480,,
281,481,,
282,483,,
283,485,,
284,487,,
285,489,,
286,491,,
287,493,,
288,495,,
289,496,,
290,499,,
291,501,,
292,505,,
293,511,,
294,513,,
295,514,,
296,516,,
297,517,,
298,520,,
299,521,,
300,525,,
301,526,,
302,529,,
303,530,,
304,531,,
305,532,,
306,533,,
307,534,,
308,535,,
309,536,,
310,538,,
311,539,,
312,542,,
313,543,,
314,545,,
315,546,,
316,548,,
317,549,,
318,550,,
319,551,,
320,552,,
321,554,,
322,555,,
323,557,,
324,560,,
325,561,,
326,562,,
327,563,,
328,564,,
329,565,,
330,566,,
331,567,,
332,573,,
333,574,,
334,575,,
335,577,,
336,578,,
337,579,,
338,585,,
339,587,,
340,588,,
341,589,,
342,590,,
343,591,,
344,592,,
345,593,,
346,596,,
347,597,,
348,598,,
349,600,,
350,601,,
351,602,,
352,604,,
353,606,,
354,608,,
355,609,,
356,613,,
357,614,,
358,616,,
359,619,,
360,620,,
361,622,,
362,623,,
363,624,,
364,626,,
365,627,,
366,628,,
367,629,,
368,630,,
369,631,,
370,632,,
371,633,,
372,634,,
373,637,,
374,639,,
375,641,,
376,642,,
377,643,,
378,644,,
379,645,,
380,647,,
381,648,,
382,651,,
383,653,,
384,654,,
385,655,,
386,656,,
387,658,,
388,659,,
389,660,,
390,663,,
391,665,,
392,667,,
393,668,,
394,669,,
395,670,,
396,671,,
397,672,,
398,673,,
399,674,,
400,676,,
401,677,,
402,678,,
403,679,,
404,680,,
405,688,,
406,690,,
407,691,,
408,694,,
409,697,,
410,701,,
411,709,,
412,711,,
413,717,,
414,718,,
415,721,,
416,723,,
417,724,,
418,725,,
419,726,,
420,729,,
421,731,,
422,732,,
423,734,,
424,735,,
425,736,,
426,737,,
427,738,,
428,739,,
429,740,,
430,745,,
431,747,,
432,748,,
433,751,,
434,755,,
435,756,,
436,757,,
437,758,,
438,759,,
439,761,,
440,762,,
441,763,,
442,764,,
443,766,,
444,768,,
445,769,,
446,772,,
447,773,,
448,775,,
449,778,,
450,779,,
451,780,,
452,781,,
453,782,,
454,786,,
455,787,,
456,788,,
457,791,,
458,792,,
459,793,,
460,794,,
461,795,,
462,796,,
463,798,,
464,799,,
465,800,,
466,801,,
467,802,,
468,804,,
469,806,,
470,807,,
471,808,,
472,809,,
473,810,,
474,811,,
475,812,,
476,813,,
477,814,,
478,815,,
479,816,,
480,817,,
481,821,,
482,822,,
483,823,,
484,825,,
485,826,,
486,828,,
487,829,,
488,831,,
489,832,,
490,834,,
491,840,,
492,841,,
493,842,,
494,843,,
495,847,,
496,848,,
497,849,,
498,850,,
499,851,,
500,852,,
501,853,,
502,856,,
503,857,,
504,858,,
505,860,,
506,862,,
507,866,,
508,869,,
509,871,,
510,873,,
511,875,,
512,880,,
513,882,,
514,883,,
515,884,,
516,885,,
517,886,,
518,887,,
519,889,,
520,890,,
521,891,,
522,892,,
523,894,,
524,898,,
525,899,,
526,900,,
527,902,,
528,904,,
529,905,,
530,909,,
531,910,,
532,911,,
533,912,,
534,914,,
535,917,,
536,918,,
537,919,,
538,920,,
539,923,,
540,924,,
541,925,,
542,926,,
543,928,,
544,929,,
545,930,,
546,932,,
547,933,,
548,938,,
549,940,,
550,942,,
551,944,,
552,945,,
553,946,,
554,948,,
555,949,,
556,952,,
557,953,,
558,954,,
559,955,,
560,956,,
561,958,,
562,959,,
563,960,,
564,962,,
565,963,,
566,968,,
567,969,,
568,970,,
569,972,,
570,973,,
571,976,,
572,979,,
573,981,,
574,983,,
575,986,,
576,987,,
577,989,,
578,990,,
579,992,,
580,996,,
581,997,,
582,999,,
583,1000,,
584,1001,,
585,1005,,
586,1006,,
587,1009,,
588,1010,,
589,1011,,
590,1017,,
591,1020,,
592,1021,,
593,1023,,
594,1024,,
595,1025,,
596,1027,,
597,1029,,
598,1031,,
599,1032,,
600,1034,,
601,1035,,
602,1036,,
603,1038,,
604,1041,,
605,1043,,
606,1044,,
607,1045,,
608,1047,,
609,1048,,
610,1050,,
611,1057,,
612,27,,
613,31,,
614,40,,
615,42,,
616,46,,
617,54,,
618,55,,
619,64,,
620,69,,
621,77,,
622,80,,
623,84,,
624,86,,
625,87,,
626,92,,
627,95,,
628,101,,
629,105,,
630,121,,
631,124,,
632,131,,
633,135,,
634,142,,
635,147,,
636,148,,
637,149,,
638,154,,
639,159,,
640,161,,
641,168,,
642,192,,
643,197,,
644,201,,
645,204,,
646,206,,
647,208,,
648,211,,
649,216,,
650,223,,
651,228,,
652,237,,
653,238,,
654,239,,
655,243,,
656,245,,
657,246,,
658,253,,
659,258,,
660,259,,
661,262,,
662,269,,
663,270,,
664,271,,
665,276,,
666,282,,
667,288,,
668,289,,
669,290,,
670,294,,
671,296,,
672,302,,
673,317,,
674,320,,
675,321,,
676,334,,
677,338,,
678,341,,
679,344,,
680,345,,
681,352,,
682,353,,
683,364,,
684,382,,
685,383,,
686,389,,
687,397,,
688,404,,
689,411,,
690,416,,
691,417,,
692,418,,
693,444,,
694,452,,
695,457,,
696,464,,
697,468,,
698,470,,
699,484,,
700,486,,
701,490,,
702,492,,
703,494,,
704,497,,
705,498,,
706,500,,
707,502,,
708,503,,
709,504,,
710,506,,
711,508,,
712,509,,
713,510,,
714,512,,
715,515,,
716,518,,
717,522,,
718,523,,
719,527,,
720,528,,
721,540,,
722,544,,
723,556,,
724,558,,
725,559,,
726,568,,
727,571,,
728,572,,
729,583,,
730,584,,
731,586,,
732,594,,
733,615,,
734,617,,
735,621,,
736,625,,
737,635,,
738,640,,
739,646,,
740,649,,
741,652,,
742,657,,
743,661,,
744,675,,
745,682,,
746,683,,
747,684,,
748,685,,
749,687,,
750,693,,
751,695,,
752,698,,
753,702,,
754,703,,
755,706,,
756,707,,
757,708,,
758,710,,
759,714,,
760,715,,
761,719,,
762,720,,
763,722,,
764,733,,
765,741,,
766,743,,
767,744,,
768,746,,
769,749,,
770,752,,
771,754,,
772,765,,
773,771,,
774,774,,
775,776,,
776,777,,
777,783,,
778,784,,
779,785,,
780,789,,
781,790,,
782,797,,
783,805,,
784,820,,
785,824,,
786,827,,
787,830,,
788,836,,
789,846,,
790,854,,
791,855,,
792,861,,
793,863,,
794,864,,
795,867,,
796,870,,
797,872,,
798,879,,
799,881,,
800,895,,
801,896,,
802,897,,
803,901,,
804,903,,
805,907,,
806,915,,
807,927,,
808,936,,
809,939,,
810,943,,
811,957,,
812,961,,
813,964,,
814,965,,
815,967,,
816,975,,
817,980,,
818,982,,
819,984,,
820,994,,
821,995,,
822,1003,,
823,1012,,
824,1014,,
825,1015,,
826,1019,,
827,1037,,
828,1042,,
829,1049,,
830,1052,,
831,1056,,
