,train,val,test
1,True,False,False
2,True,False,False
3,True,False,False
6,True,False,False
8,True,False,False
9,True,False,False
10,True,False,False
11,True,False,False
13,True,False,False
15,True,False,False
16,True,False,False
17,True,False,False
19,True,False,False
20,True,False,False
21,True,False,False
22,True,False,False
24,True,False,False
26,True,False,False
29,True,False,False
30,True,False,False
33,True,False,False
35,True,False,False
36,True,False,False
37,True,False,False
38,True,False,False
39,True,False,False
44,True,False,False
47,True,False,False
48,True,False,False
49,True,False,False
51,True,False,False
52,True,False,False
53,True,False,False
56,True,False,False
59,True,False,False
60,True,False,False
61,True,False,False
62,True,False,False
63,True,False,False
65,True,False,False
66,True,False,False
67,True,False,False
68,True,False,False
71,True,False,False
72,True,False,False
73,True,False,False
75,True,False,False
76,True,False,False
78,True,False,False
82,True,False,False
83,True,False,False
85,True,False,False
89,True,False,False
90,True,False,False
94,True,False,False
96,True,False,False
98,True,False,False
99,True,False,False
100,True,False,False
103,True,False,False
106,True,False,False
107,True,False,False
109,True,False,False
110,True,False,False
112,True,False,False
113,True,False,False
114,True,False,False
117,True,False,False
118,True,False,False
120,True,False,False
122,True,False,False
123,True,False,False
125,True,False,False
126,True,False,False
128,True,False,False
129,True,False,False
130,True,False,False
132,True,False,False
134,True,False,False
136,True,False,False
137,True,False,False
139,True,False,False
140,True,False,False
141,True,False,False
143,True,False,False
145,True,False,False
146,True,False,False
150,True,False,False
151,True,False,False
152,True,False,False
156,True,False,False
157,True,False,False
158,True,False,False
160,True,False,False
162,True,False,False
163,True,False,False
164,True,False,False
165,True,False,False
167,True,False,False
169,True,False,False
170,True,False,False
171,True,False,False
173,True,False,False
174,True,False,False
175,True,False,False
177,True,False,False
181,True,False,False
182,True,False,False
184,True,False,False
185,True,False,False
186,True,False,False
187,True,False,False
188,True,False,False
191,True,False,False
193,True,False,False
194,True,False,False
196,True,False,False
198,True,False,False
199,True,False,False
200,True,False,False
202,True,False,False
203,True,False,False
207,True,False,False
209,True,False,False
210,True,False,False
212,True,False,False
213,True,False,False
214,True,False,False
217,True,False,False
218,True,False,False
219,True,False,False
221,True,False,False
222,True,False,False
224,True,False,False
225,True,False,False
226,True,False,False
227,True,False,False
229,True,False,False
234,True,False,False
235,True,False,False
236,True,False,False
240,True,False,False
241,True,False,False
244,True,False,False
247,True,False,False
249,True,False,False
250,True,False,False
252,True,False,False
254,True,False,False
255,True,False,False
256,True,False,False
257,True,False,False
260,True,False,False
261,True,False,False
263,True,False,False
264,True,False,False
265,True,False,False
268,True,False,False
272,True,False,False
273,True,False,False
274,True,False,False
275,True,False,False
277,True,False,False
278,True,False,False
280,True,False,False
281,True,False,False
283,True,False,False
284,True,False,False
286,True,False,False
287,True,False,False
291,True,False,False
293,True,False,False
295,True,False,False
297,True,False,False
298,True,False,False
299,True,False,False
301,True,False,False
303,True,False,False
306,True,False,False
308,True,False,False
309,True,False,False
312,True,False,False
313,True,False,False
314,True,False,False
315,True,False,False
316,True,False,False
318,True,False,False
319,True,False,False
322,True,False,False
324,True,False,False
325,True,False,False
328,True,False,False
329,True,False,False
330,True,False,False
331,True,False,False
333,True,False,False
335,True,False,False
336,True,False,False
337,True,False,False
340,True,False,False
343,True,False,False
346,True,False,False
347,True,False,False
348,True,False,False
349,True,False,False
351,True,False,False
354,True,False,False
356,True,False,False
357,True,False,False
358,True,False,False
359,True,False,False
361,True,False,False
362,True,False,False
365,True,False,False
367,True,False,False
368,True,False,False
369,True,False,False
373,True,False,False
374,True,False,False
375,True,False,False
376,True,False,False
377,True,False,False
378,True,False,False
379,True,False,False
380,True,False,False
381,True,False,False
386,True,False,False
387,True,False,False
388,True,False,False
390,True,False,False
391,True,False,False
392,True,False,False
394,True,False,False
395,True,False,False
396,True,False,False
400,True,False,False
403,True,False,False
405,True,False,False
406,True,False,False
408,True,False,False
409,True,False,False
410,True,False,False
413,True,False,False
414,True,False,False
420,True,False,False
421,True,False,False
422,True,False,False
424,True,False,False
425,True,False,False
426,True,False,False
427,True,False,False
428,True,False,False
429,True,False,False
430,True,False,False
431,True,False,False
433,True,False,False
434,True,False,False
435,True,False,False
436,True,False,False
437,True,False,False
438,True,False,False
441,True,False,False
442,True,False,False
443,True,False,False
446,True,False,False
447,True,False,False
448,True,False,False
449,True,False,False
453,True,False,False
454,True,False,False
455,True,False,False
456,True,False,False
458,True,False,False
459,True,False,False
460,True,False,False
462,True,False,False
463,True,False,False
467,True,False,False
469,True,False,False
471,True,False,False
472,True,False,False
474,True,False,False
478,True,False,False
480,True,False,False
482,True,False,False
483,True,False,False
485,True,False,False
487,True,False,False
488,True,False,False
489,True,False,False
491,True,False,False
496,True,False,False
499,True,False,False
501,True,False,False
505,True,False,False
507,True,False,False
511,True,False,False
513,True,False,False
514,True,False,False
516,True,False,False
517,True,False,False
520,True,False,False
521,True,False,False
524,True,False,False
525,True,False,False
526,True,False,False
529,True,False,False
530,True,False,False
531,True,False,False
532,True,False,False
533,True,False,False
534,True,False,False
535,True,False,False
536,True,False,False
538,True,False,False
542,True,False,False
543,True,False,False
545,True,False,False
546,True,False,False
548,True,False,False
549,True,False,False
550,True,False,False
552,True,False,False
555,True,False,False
557,True,False,False
560,True,False,False
562,True,False,False
564,True,False,False
565,True,False,False
566,True,False,False
567,True,False,False
574,True,False,False
575,True,False,False
576,True,False,False
577,True,False,False
578,True,False,False
580,True,False,False
581,True,False,False
585,True,False,False
587,True,False,False
589,True,False,False
590,True,False,False
591,True,False,False
592,True,False,False
593,True,False,False
595,True,False,False
596,True,False,False
597,True,False,False
598,True,False,False
599,True,False,False
600,True,False,False
601,True,False,False
604,True,False,False
605,True,False,False
606,True,False,False
608,True,False,False
609,True,False,False
610,True,False,False
613,True,False,False
614,True,False,False
616,True,False,False
619,True,False,False
622,True,False,False
623,True,False,False
624,True,False,False
626,True,False,False
627,True,False,False
628,True,False,False
629,True,False,False
630,True,False,False
632,True,False,False
633,True,False,False
634,True,False,False
637,True,False,False
639,True,False,False
641,True,False,False
642,True,False,False
643,True,False,False
644,True,False,False
645,True,False,False
647,True,False,False
648,True,False,False
651,True,False,False
653,True,False,False
654,True,False,False
655,True,False,False
656,True,False,False
659,True,False,False
660,True,False,False
662,True,False,False
663,True,False,False
664,True,False,False
665,True,False,False
666,True,False,False
668,True,False,False
670,True,False,False
672,True,False,False
673,True,False,False
677,True,False,False
678,True,False,False
679,True,False,False
681,True,False,False
686,True,False,False
688,True,False,False
690,True,False,False
697,True,False,False
699,True,False,False
701,True,False,False
705,True,False,False
709,True,False,False
713,True,False,False
717,True,False,False
718,True,False,False
721,True,False,False
723,True,False,False
725,True,False,False
726,True,False,False
730,True,False,False
731,True,False,False
732,True,False,False
734,True,False,False
735,True,False,False
736,True,False,False
737,True,False,False
739,True,False,False
740,True,False,False
745,True,False,False
747,True,False,False
748,True,False,False
750,True,False,False
753,True,False,False
755,True,False,False
756,True,False,False
757,True,False,False
758,True,False,False
759,True,False,False
760,True,False,False
762,True,False,False
763,True,False,False
764,True,False,False
766,True,False,False
768,True,False,False
769,True,False,False
770,True,False,False
772,True,False,False
773,True,False,False
775,True,False,False
778,True,False,False
779,True,False,False
780,True,False,False
781,True,False,False
786,True,False,False
787,True,False,False
791,True,False,False
792,True,False,False
793,True,False,False
794,True,False,False
795,True,False,False
798,True,False,False
799,True,False,False
800,True,False,False
802,True,False,False
804,True,False,False
807,True,False,False
810,True,False,False
811,True,False,False
812,True,False,False
813,True,False,False
814,True,False,False
815,True,False,False
816,True,False,False
821,True,False,False
823,True,False,False
825,True,False,False
826,True,False,False
828,True,False,False
833,True,False,False
837,True,False,False
839,True,False,False
840,True,False,False
841,True,False,False
842,True,False,False
843,True,False,False
844,True,False,False
845,True,False,False
847,True,False,False
848,True,False,False
849,True,False,False
850,True,False,False
851,True,False,False
852,True,False,False
853,True,False,False
858,True,False,False
860,True,False,False
862,True,False,False
865,True,False,False
868,True,False,False
871,True,False,False
873,True,False,False
875,True,False,False
876,True,False,False
877,True,False,False
880,True,False,False
882,True,False,False
883,True,False,False
884,True,False,False
885,True,False,False
886,True,False,False
887,True,False,False
889,True,False,False
890,True,False,False
891,True,False,False
892,True,False,False
893,True,False,False
894,True,False,False
898,True,False,False
899,True,False,False
900,True,False,False
902,True,False,False
904,True,False,False
905,True,False,False
906,True,False,False
909,True,False,False
911,True,False,False
912,True,False,False
913,True,False,False
914,True,False,False
916,True,False,False
917,True,False,False
918,True,False,False
919,True,False,False
920,True,False,False
921,True,False,False
923,True,False,False
924,True,False,False
925,True,False,False
926,True,False,False
928,True,False,False
929,True,False,False
930,True,False,False
932,True,False,False
933,True,False,False
935,True,False,False
938,True,False,False
940,True,False,False
941,True,False,False
942,True,False,False
945,True,False,False
947,True,False,False
949,True,False,False
951,True,False,False
952,True,False,False
953,True,False,False
954,True,False,False
956,True,False,False
959,True,False,False
960,True,False,False
962,True,False,False
966,True,False,False
969,True,False,False
970,True,False,False
971,True,False,False
972,True,False,False
973,True,False,False
976,True,False,False
978,True,False,False
981,True,False,False
986,True,False,False
987,True,False,False
989,True,False,False
990,True,False,False
992,True,False,False
993,True,False,False
996,True,False,False
998,True,False,False
1002,True,False,False
1005,True,False,False
1006,True,False,False
1007,True,False,False
1008,True,False,False
1009,True,False,False
1010,True,False,False
1011,True,False,False
1013,True,False,False
1017,True,False,False
1021,True,False,False
1022,True,False,False
1023,True,False,False
1024,True,False,False
1026,True,False,False
1027,True,False,False
1028,True,False,False
1029,True,False,False
1031,True,False,False
1032,True,False,False
1033,True,False,False
1034,True,False,False
1035,True,False,False
1036,True,False,False
1038,True,False,False
1040,True,False,False
1041,True,False,False
1043,True,False,False
1044,True,False,False
1046,True,False,False
1047,True,False,False
1048,True,False,False
1050,True,False,False
1051,True,False,False
1055,True,False,False
1057,True,False,False
1058,True,False,False
4,True,False,False
23,True,False,False
27,True,False,False
31,True,False,False
40,True,False,False
42,True,False,False
43,True,False,False
46,True,False,False
54,True,False,False
55,True,False,False
64,True,False,False
69,True,False,False
77,True,False,False
80,True,False,False
81,True,False,False
86,True,False,False
87,True,False,False
91,True,False,False
92,True,False,False
101,True,False,False
102,True,False,False
116,True,False,False
121,True,False,False
131,True,False,False
135,True,False,False
142,True,False,False
147,True,False,False
148,True,False,False
149,True,False,False
154,True,False,False
155,True,False,False
159,True,False,False
168,True,False,False
183,True,False,False
192,True,False,False
197,True,False,False
201,True,False,False
204,True,False,False
208,True,False,False
216,True,False,False
223,True,False,False
228,True,False,False
232,True,False,False
233,True,False,False
237,True,False,False
238,True,False,False
239,True,False,False
243,True,False,False
245,True,False,False
246,True,False,False
248,True,False,False
251,True,False,False
258,True,False,False
259,True,False,False
262,True,False,False
269,True,False,False
270,True,False,False
271,True,False,False
276,True,False,False
282,True,False,False
288,True,False,False
290,True,False,False
296,True,False,False
302,True,False,False
317,True,False,False
320,True,False,False
321,True,False,False
323,True,False,False
327,True,False,False
334,True,False,False
338,True,False,False
341,True,False,False
344,True,False,False
345,True,False,False
352,True,False,False
355,True,False,False
364,True,False,False
371,True,False,False
372,True,False,False
382,True,False,False
383,True,False,False
389,True,False,False
393,True,False,False
404,True,False,False
411,True,False,False
412,True,False,False
417,True,False,False
418,True,False,False
444,True,False,False
457,True,False,False
464,True,False,False
465,True,False,False
468,True,False,False
486,True,False,False
490,True,False,False
492,True,False,False
497,True,False,False
498,True,False,False
500,True,False,False
502,True,False,False
503,True,False,False
504,True,False,False
506,True,False,False
508,True,False,False
510,True,False,False
512,True,False,False
515,True,False,False
522,True,False,False
523,True,False,False
527,True,False,False
528,True,False,False
540,True,False,False
544,True,False,False
547,True,False,False
553,True,False,False
558,True,False,False
559,True,False,False
568,True,False,False
570,True,False,False
572,True,False,False
583,True,False,False
584,True,False,False
586,True,False,False
603,True,False,False
611,True,False,False
612,True,False,False
615,True,False,False
617,True,False,False
621,True,False,False
625,True,False,False
635,True,False,False
636,True,False,False
646,True,False,False
649,True,False,False
657,True,False,False
661,True,False,False
675,True,False,False
682,True,False,False
684,True,False,False
685,True,False,False
687,True,False,False
689,True,False,False
695,True,False,False
698,True,False,False
700,True,False,False
702,True,False,False
703,True,False,False
706,True,False,False
707,True,False,False
708,True,False,False
714,True,False,False
715,True,False,False
720,True,False,False
722,True,False,False
728,True,False,False
741,True,False,False
742,True,False,False
743,True,False,False
744,True,False,False
749,True,False,False
752,True,False,False
765,True,False,False
774,True,False,False
776,True,False,False
777,True,False,False
783,True,False,False
784,True,False,False
785,True,False,False
789,True,False,False
790,True,False,False
797,True,False,False
830,True,False,False
835,True,False,False
836,True,False,False
838,True,False,False
846,True,False,False
854,True,False,False
855,True,False,False
861,True,False,False
867,True,False,False
870,True,False,False
874,True,False,False
879,True,False,False
881,True,False,False
888,True,False,False
895,True,False,False
896,True,False,False
901,True,False,False
903,True,False,False
907,True,False,False
908,True,False,False
915,True,False,False
927,True,False,False
936,True,False,False
943,True,False,False
961,True,False,False
964,True,False,False
965,True,False,False
967,True,False,False
974,True,False,False
975,True,False,False
980,True,False,False
984,True,False,False
985,True,False,False
991,True,False,False
994,True,False,False
995,True,False,False
1003,True,False,False
1012,True,False,False
1014,True,False,False
1015,True,False,False
1016,True,False,False
1018,True,False,False
1019,True,False,False
1037,True,False,False
1042,True,False,False
1049,True,False,False
1052,True,False,False
1054,True,False,False
1056,True,False,False
676,False,True,False
751,False,True,False
1001,False,True,False
370,False,True,False
305,False,True,False
602,False,True,False
857,False,True,False
631,False,True,False
97,False,True,False
1020,False,True,False
582,False,True,False
704,False,True,False
1039,False,True,False
18,False,True,False
551,False,True,False
311,False,True,False
57,False,True,False
539,False,True,False
948,False,True,False
231,False,True,False
384,False,True,False
968,False,True,False
74,False,True,False
1030,False,True,False
215,False,True,False
796,False,True,False
179,False,True,False
834,False,True,False
1004,False,True,False
782,False,True,False
7,False,True,False
360,False,True,False
88,False,True,False
669,False,True,False
445,False,True,False
541,False,True,False
266,False,True,False
34,False,True,False
481,False,True,False
922,False,True,False
910,False,True,False
817,False,True,False
822,False,True,False
166,False,True,False
493,False,True,False
176,False,True,False
869,False,True,False
694,False,True,False
724,False,True,False
819,False,True,False
761,False,True,False
189,False,True,False
1053,False,True,False
93,False,True,False
363,False,True,False
423,False,True,False
727,False,True,False
866,False,True,False
1025,False,True,False
339,False,True,False
401,False,True,False
977,False,True,False
172,False,True,False
304,False,True,False
432,False,True,False
997,False,True,False
931,False,True,False
440,False,True,False
127,False,True,False
767,False,True,False
983,False,True,False
729,False,True,False
398,False,True,False
350,False,True,False
999,False,True,False
111,False,True,False
719,False,True,False
982,False,True,False
416,False,True,False
824,False,True,False
569,False,True,False
650,False,True,False
124,False,True,False
693,False,True,False
518,False,True,False
509,False,True,False
897,False,True,False
211,False,True,False
683,False,True,False
105,False,True,False
484,False,True,False
640,False,True,False
556,False,True,False
638,False,True,False
710,False,True,False
771,False,True,False
452,False,True,False
161,False,True,False
571,False,True,False
342,False,True,False
253,False,True,False
652,False,True,False
397,False,True,False
70,False,False,True
963,False,False,True
385,False,False,True
115,False,False,True
153,False,False,True
958,False,False,True
738,False,False,True
32,False,False,True
466,False,False,True
658,False,False,True
461,False,False,True
58,False,False,True
495,False,False,True
104,False,False,True
5,False,False,True
419,False,False,True
806,False,False,True
554,False,False,True
242,False,False,True
138,False,False,True
859,False,False,True
366,False,False,True
856,False,False,True
946,False,False,True
674,False,False,True
809,False,False,True
205,False,False,True
808,False,False,True
579,False,False,True
190,False,False,True
477,False,False,True
667,False,False,True
230,False,False,True
300,False,False,True
620,False,False,True
50,False,False,True
711,False,False,True
310,False,False,True
451,False,False,True
133,False,False,True
475,False,False,True
573,False,False,True
691,False,False,True
561,False,False,True
332,False,False,True
12,False,False,True
788,False,False,True
671,False,False,True
950,False,False,True
1000,False,False,True
450,False,False,True
832,False,False,True
144,False,False,True
955,False,False,True
119,False,False,True
563,False,False,True
1045,False,False,True
267,False,False,True
829,False,False,True
937,False,False,True
479,False,False,True
285,False,False,True
801,False,False,True
28,False,False,True
180,False,False,True
326,False,False,True
944,False,False,True
79,False,False,True
979,False,False,True
588,False,False,True
680,False,False,True
402,False,False,True
716,False,False,True
14,False,False,True
831,False,False,True
41,False,False,True
754,False,False,True
470,False,False,True
820,False,False,True
863,False,False,True
939,False,False,True
206,False,False,True
353,False,False,True
494,False,False,True
746,False,False,True
988,False,False,True
594,False,False,True
864,False,False,True
294,False,False,True
537,False,False,True
692,False,False,True
476,False,False,True
957,False,False,True
84,False,False,True
805,False,False,True
872,False,False,True
439,False,False,True
289,False,False,True
618,False,False,True
827,False,False,True
733,False,False,True
696,False,False,True
95,False,False,True
