,train,val,test
2,True,False,False
4,True,False,False
5,True,False,False
19,True,False,False
28,True,False,False
31,True,False,False
41,True,False,False
42,True,False,False
44,True,False,False
46,True,False,False
49,True,False,False
53,True,False,False
54,True,False,False
57,True,False,False
64,True,False,False
66,True,False,False
69,True,False,False
77,True,False,False
84,True,False,False
96,True,False,False
97,True,False,False
98,True,False,False
100,True,False,False
102,True,False,False
104,True,False,False
105,True,False,False
107,True,False,False
109,True,False,False
130,True,False,False
131,True,False,False
148,True,False,False
149,True,False,False
151,True,False,False
155,True,False,False
156,True,False,False
162,True,False,False
165,True,False,False
176,True,False,False
177,True,False,False
189,True,False,False
198,True,False,False
206,True,False,False
209,True,False,False
210,True,False,False
219,True,False,False
223,True,False,False
227,True,False,False
233,True,False,False
239,True,False,False
242,True,False,False
243,True,False,False
244,True,False,False
245,True,False,False
251,True,False,False
254,True,False,False
258,True,False,False
259,True,False,False
262,True,False,False
272,True,False,False
273,True,False,False
276,True,False,False
280,True,False,False
286,True,False,False
289,True,False,False
290,True,False,False
302,True,False,False
304,True,False,False
309,True,False,False
317,True,False,False
322,True,False,False
324,True,False,False
329,True,False,False
331,True,False,False
334,True,False,False
337,True,False,False
338,True,False,False
345,True,False,False
349,True,False,False
353,True,False,False
355,True,False,False
359,True,False,False
360,True,False,False
369,True,False,False
370,True,False,False
371,True,False,False
374,True,False,False
380,True,False,False
383,True,False,False
387,True,False,False
392,True,False,False
396,True,False,False
397,True,False,False
400,True,False,False
401,True,False,False
410,True,False,False
419,True,False,False
420,True,False,False
423,True,False,False
424,True,False,False
425,True,False,False
440,True,False,False
443,True,False,False
449,True,False,False
454,True,False,False
466,True,False,False
475,True,False,False
476,True,False,False
481,True,False,False
485,True,False,False
489,True,False,False
491,True,False,False
492,True,False,False
500,True,False,False
506,True,False,False
509,True,False,False
512,True,False,False
518,True,False,False
524,True,False,False
528,True,False,False
540,True,False,False
547,True,False,False
556,True,False,False
559,True,False,False
566,True,False,False
568,True,False,False
571,True,False,False
572,True,False,False
573,True,False,False
582,True,False,False
584,True,False,False
587,True,False,False
588,True,False,False
590,True,False,False
603,True,False,False
604,True,False,False
621,True,False,False
623,True,False,False
625,True,False,False
627,True,False,False
635,True,False,False
640,True,False,False
642,True,False,False
650,True,False,False
673,True,False,False
692,True,False,False
695,True,False,False
696,True,False,False
724,True,False,False
728,True,False,False
730,True,False,False
741,True,False,False
746,True,False,False
760,True,False,False
764,True,False,False
768,True,False,False
774,True,False,False
777,True,False,False
782,True,False,False
783,True,False,False
784,True,False,False
792,True,False,False
794,True,False,False
807,True,False,False
809,True,False,False
813,True,False,False
814,True,False,False
817,True,False,False
828,True,False,False
831,True,False,False
832,True,False,False
834,True,False,False
840,True,False,False
846,True,False,False
854,True,False,False
856,True,False,False
864,True,False,False
865,True,False,False
866,True,False,False
870,True,False,False
872,True,False,False
874,True,False,False
875,True,False,False
883,True,False,False
888,True,False,False
897,True,False,False
904,True,False,False
910,True,False,False
917,True,False,False
918,True,False,False
924,True,False,False
927,True,False,False
935,True,False,False
939,True,False,False
942,True,False,False
961,True,False,False
