,train,val,test
0,C3N-01410-24,C3L-03976-22,C3N-02922-22
1,C3L-02165-24,C3L-04373-26,C3N-02422-22
2,C3N-00293-22,C3N-00167-22,C3N-01024-24
3,C3N-02240-22,C3N-02237-27,C3L-04031-26
4,C3L-02515-25,C3N-00203-21,C3N-00293-25
5,C3L-02365-23,C3L-02893-26,C3N-02671-21
6,C3L-04376-28,C3N-01024-27,C3N-03911-26
7,C3L-02165-23,C3N-00294-21,C3N-02290-21
8,C3N-01410-27,C3N-02237-24,C3L-02957-21
9,C3N-03057-22,C3N-03212-23,C3L-00422-22
10,C3N-02192-25,C3L-02549-21,C3N-02587-22
11,C3L-03984-28,C3N-00738-22,C3N-00223-26
12,C3N-00549-21,C3N-02922-24,C3N-02421-22
13,C3N-00547-26,C3N-01016-24,C3L-03717-21
14,C3L-01683-27,C3N-02242-23,C3N-04168-21
15,C3N-00580-21,C3N-03074-23,C3L-03969-22
16,C3N-00579-26,C3N-00559-23,C3L-04759-25
17,C3N-01415-24,C3L-00368-22,C3N-01019-24
18,C3L-00263-27,C3N-01414-26,C3N-00546-24
19,C3N-00547-23,C3L-00973-21,C3L-00913-22
20,C3L-00446-23,C3N-02379-21,C3N-01488-23
21,C3N-02582-23,C3N-01408-23,C3L-03976-28
22,C3L-02643-22,C3L-00604-26,C3L-00144-26
23,C3N-02379-22,C3L-00140-22,C3N-00175-21
24,C3N-01417-26,C3N-02146-22,C3N-01417-22
25,C3N-04157-21,C3N-02141-23,C3L-03268-24
26,C3L-02654-26,C3L-01924-21,C3N-01072-23
27,C3N-01415-26,C3L-03985-25,C3N-00578-26
28,C3N-02090-21,C3L-02219-22,C3N-02144-24
29,C3N-02143-27,C3N-02237-21,C3N-00574-22
30,C3N-02146-24,C3L-04037-25,C3N-03929-22
31,C3N-02758-21,C3L-02616-27,C3L-04037-21
32,C3N-03225-22,C3N-03233-21,C3N-00552-23
33,C3L-02601-21,C3N-03233-22,C3N-02146-27
34,C3N-02155-22,C3L-00444-28,C3L-03721-21
35,C3N-01409-24,C3N-01408-24,C3N-00167-21
