,train,val,test
0,C3L-00893-22,C3N-02087-23,C3N-00180-24
1,C3N-02242-23,C3N-01024-24,C3N-03202-21
2,C3N-01022-24,C3N-03205-22,C3N-00552-23
3,C3N-01071-22,C3N-02588-22,C3N-02150-24
4,C3L-02169-22,C3N-01405-23,C3N-01023-22
5,C3L-01632-23,C3L-04040-24,C3N-00549-22
6,C3N-00959-21,C3L-03969-21,C3N-01022-22
7,C3L-01330-22,C3L-03271-21,C3L-03969-23
8,C3N-02582-22,C3N-00559-24,C3N-01074-24
9,C3N-01074-22,C3L-01924-24,C3N-01842-23
10,C3N-02721-22,C3N-03212-22,C3N-02230-21
11,C3N-00959-22,C3N-02193-22,C3L-02513-21
12,C3N-02237-21,C3N-02433-21,C3L-00095-23
13,C3L-02834-21,C3N-03080-21,C3L-02345-23
14,C3N-00737-23,C3N-02087-24,C3N-02143-24
15,C3L-03985-21,C3L-04037-25,C3L-01890-22
16,C3N-01489-22,C3N-01408-21,C3N-01414-22
17,C3N-02152-22,C3N-02729-21,C3N-02572-22
18,C3N-02242-21,C3N-02728-23,C3L-02661-24
19,C3N-02281-23,C3N-00559-22,C3N-00580-24
20,C3N-00203-23,C3N-00578-23,C3N-02923-23
21,C3N-02923-24,C3N-00199-22,C3N-02155-24
22,C3N-02146-21,C3L-02893-22,C3L-03268-21
23,C3L-02508-23,C3N-00167-22,C3N-02150-21
24,C3L-04759-23,C3N-01016-23,C3N-04168-22
25,C3N-02153-23,C3N-04382-21,C3N-01416-22
26,C3N-03073-21,C3N-02926-21,C3L-03271-23
27,C3N-02240-21,C3L-01330-23,C3N-00167-21
28,C3N-02143-22,C3L-02834-22,C3N-01023-23
29,C3N-02067-21,C3N-02919-23,C3N-01023-24
30,C3L-00279-23,C3N-02144-24,C3N-01030-22
31,C3L-02957-22,C3N-00574-24,C3N-03225-22
32,C3L-02348-21,C3L-00604-22,C3N-00579-21
33,C3L-00913-23,C3L-00446-23,C3N-02920-21
34,C3L-02654-22,C3L-03984-23,C3N-02240-24
35,C3L-01682-21,C3N-02192-21,C3N-02146-22
36,C3N-02587-21,C3L-04757-22,C3N-00169-23
37,C3N-02948-21,C3N-01072-23,C3N-04157-22
38,C3L-04757-25,C3N-00580-22,C3N-01016-21
39,C3N-01413-21,C3N-03929-21,C3N-00546-23
40,C3N-00294-21,C3N-03420-22,C3N-03222-22
41,C3N-00294-24,C3L-02643-24,C3N-02929-21
42,C3N-00572-24,C3N-00547-24,C3L-01682-23
43,C3L-03679-22,C3N-02090-21,C3N-01409-21
44,C3L-02345-22,C3N-01021-21,C3N-01417-21
45,C3N-03210-21,C3L-02654-23,C3L-03969-22
46,C3N-00433-22,C3N-02757-21,C3N-00547-21
47,C3N-02149-23,C3N-00217-23,C3L-02560-21
48,C3N-02282-25,C3N-00175-21,C3N-02922-24
49,C3N-02423-22,C3L-04031-24,C3N-01416-21
50,C3N-00180-23,C3N-00433-24,C3N-02142-21
51,C3N-03054-21,C3N-02421-21,C3N-01842-21
52,C3N-00556-22,C3L-04040-23,C3L-00422-23
53,C3N-02529-22,C3N-02587-22,C3L-00913-21
54,C3N-02919-21,C3N-02919-22,C3N-02973-22
55,C3N-00180-21,C3L-00510-23,C3N-01488-21
56,C3N-02729-22,C3N-00203-24,C3N-03225-21
57,C3N-02142-24,C3N-02237-24,C3N-02234-21
58,C3N-00549-24,C3L-04040-22,C3N-02088-22
59,C3L-00446-21,C3N-02422-22,C3N-00223-24
60,C3L-02345-21,C3L-02165-23,C3N-03038-22
61,C3N-02155-23,C3L-02169-21,C3N-01410-23
62,C3L-03976-24,C3N-02920-22,C3L-02219-21
63,C3N-02090-23,C3N-02002-23,C3L-02967-21
64,C3N-00578-21,C3L-02643-22,C3L-00446-24
65,C3N-02090-22,C3L-02957-23,C3N-02155-22
66,C3N-03911-23,C3N-00550-22,C3N-01072-22
67,C3N-01488-24,C3N-03923-21,C3N-00555-22
68,C3N-01071-24,C3L-00415-21,C3L-02625-22
69,C3L-01862-23,C3L-05423-24,C3L-02170-22
70,C3N-02152-23,C3L-03961-23,C3L-04367-22
71,C3L-03985-25,C3L-04013-22,C3L-01606-21
72,C3L-02129-21,C3L-04889-24,C3L-04878-21
73,C3L-00080-21,C3L-05212-24,C3L-04922-24
74,C3N-02240-22,C3L-02650-25,C3L-04863-25
75,C3N-02928-21,C3L-04887-25,C3N-03092-24
76,C3L-02513-23,C3L-02168-22,C3L-04746-21
77,C3N-02922-23,C3L-05417-24,C3L-04863-23
78,C3N-03074-22,C3L-02669-25,C3L-05225-22
79,C3N-01410-24,C3L-04874-24,C3N-00221-25
80,C3N-00223-21,C3L-05394-25,C3L-04804-23
81,C3N-02193-24,C3L-04367-21,C3L-04854-22
82,C3L-00913-22,C3L-02627-24,C3L-00568-21
83,C3L-02515-23,C3L-05022-22,C3L-05172-24
84,C3L-04033-22,C3N-02435-22,C3L-04216-23
85,C3N-03210-22,C3L-05172-21,C3L-04858-24
86,C3N-00546-22,C3N-01411-24,C3N-03886-21
87,C3N-01021-22,C3L-02624-23,C3L-04409-21
88,C3N-03063-21,C3L-02650-26,C3L-02624-25
89,C3L-04757-21,C3L-04854-25,C3L-04883-25
90,C3N-00580-23,C3N-01018-21,C3N-05078-21
91,C3N-02728-21,C3L-04916-24,C3L-02969-22
92,C3N-01021-24,C3L-05417-22,C3L-04854-23
93,C3L-00973-24,C3L-02130-22,C3N-05929-23
94,C3L-04031-22,C3L-03963-25,C3L-05428-22
95,C3N-00293-23,C3N-02725-22,C3L-04216-25
96,C3L-00510-21,C3L-05428-25,C3N-02725-21
97,C3N-03238-21,C3L-04781-23,C3L-03982-23
98,C3N-02588-21,C3L-04861-21,C3L-06169-21
99,C3N-01024-22,C3N-02523-22,C3N-05923-21
100,C3N-02143-21,C3N-02675-24,C3N-03092-23
101,C3N-03225-23,C3L-04921-24,C3L-04361-21
102,C3N-03921-22,C3L-04361-25,C3L-04746-23
103,C3N-01409-24,C3N-05630-22,C3L-00965-24
104,C3L-00083-21,C3N-00229-30,C3L-03963-23
105,C3N-02144-23,C3L-05428-21,C3L-06169-24
106,C3L-00140-21,C3L-04336-21,C3L-04361-22
107,C3N-01409-23,C3L-03987-22,C3L-04922-23
108,C3N-03921-21,C3N-01411-23,C3N-03875-21
109,C3N-02973-23,C3L-02646-23,C3L-02665-24
110,C3N-00199-23,C3L-04336-22,C3L-01663-22
111,C3L-03726-22,C3N-03093-22,C3L-05022-24
112,C3N-02948-22,C3L-05422-22,C3N-02252-29
113,C3L-02616-23,C3L-04014-25,C3L-05225-24
114,C3L-02219-22,C3L-00568-23,C3L-05393-21
115,C3N-02380-21,C3N-01028-24,C3N-02494-21
116,C3N-01016-24,C3L-02618-25,C3L-05369-21
117,C3L-00973-21,C3L-04889-25,C3N-00309-21
118,C3N-00549-23,C3L-03982-21,C3N-03886-23
119,C3N-00704-22,C3L-04804-24,C3L-04781-21
120,C3L-04037-24,C3L-04808-22,C3L-04378-23
121,C3N-02000-23,C3N-00221-26,C3L-01455-22
122,C3L-01632-21,C3L-04874-22,C3L-04334-21
123,C3N-02728-22,C3L-03965-24,C3L-04792-22
124,C3L-00604-23,C3L-04378-21,C3L-01884-21
125,C3N-02150-23,C3N-05079-21,C3L-04408-21
126,C3N-01072-21,C3L-04334-22,C3L-04792-23
127,C3N-02143-23,C3L-00993-24,C3N-05080-25
128,C3N-01021-23,C3L-00993-22,C3L-03962-21
129,C3L-02616-21,C3L-04071-21,C3L-02951-22
130,C3N-02451-23,C3L-02964-21,C3L-02625-24
131,C3L-02515-22,C3L-02649-22,C3N-04609-21
132,C3L-02513-22,C3L-02163-22,C3N-02339-22
133,C3L-04040-25,C3N-01194-24,C3L-02130-23
134,C3L-00412-21,C3L-04786-21,C3N-04127-21
135,C3L-03268-22,C3N-04609-26,C3L-02954-26
136,C3N-03222-23,C3N-00175-26,C3L-02834-26
137,C3N-00556-24,C3L-04786-26,C3L-04749-26
138,C3N-00175-23,C3N-01411-26,C3L-04871-26
139,C3L-02958-21,C3L-00093-26,C3N-01017-27
140,C3N-00180-22,C3N-02523-24,C3L-04379-26
141,C3N-02145-22,C3L-02625-27,C3N-00247-26
142,C3N-00556-21,C3N-02230-26,C3L-05150-26
143,C3L-02365-25,C3L-04033-26,C3L-04922-28
144,C3N-02088-23,C3N-01020-27,C3L-04874-27
145,C3N-00199-21,C3L-04391-26,C3L-03965-27
146,C3N-00546-21,C3L-02649-27,C3N-00497-25
147,C3N-02379-21,C3L-02616-27,C3L-04334-27
148,C3N-00223-23,C3L-03984-27,C3N-00559-26
149,C3L-02654-25,C3L-05176-26,C3N-00556-27
