,train,val,test
0,1438f19e07c389b47fd5219ca62f9f0a,ae83188e4dc8d72324d0c897d57f67d2,a16f4b2fd513d669c5b8dddc7bfa9fa6
1,fa443a89009d726aafc74f439dcda7aa,fa1308140eb6aea8c7d91ebebf51073e,4ba2c9a9103bbbaa575dfb3b888dc195
2,90fed309bf399bb521519199a45f09b4,a74fcdf2a5734aed98ab883bab52604a,a712e62023246ce138c377b93660ee69
3,4f97dcfc7c82a6a16f8fdf3668ca22df,6437c1f6a475089d659e71ddd7edb010,95f50ef561b3a5577c09859dc909fb8d
4,28fe202d59a8ebbac9bb63ea093236d8,2b03baa16076f3848892001f9f5d392a,e32eaa0214217a140bd12cd1592d9558
5,afe7eb15c8438861ca43f2b20dccf260,444dad085af757af17180f00e77fc1f3,10cb295e2db9ac2cd1f32523b401d95a
6,0f39f5898c4efb71453313f528f70c9d,c60ab9edd0171d5d22e70f2df5a92308,995df9b93db1e396b57692c6c7f1d673
7,7a06c24907b5a0474a182905cb0c8dae,7de45563d6b6184d1e5f7d25c1c1316b,6129f36d2604ad122625914947cfce61
8,c57d9d2eff7cf42640303467884d8c24,8b6bc283a0d345aaab935989639523eb,b6629fd3b3db7a394296fa51a657c3cb
9,28f61fed84718b7bcd54bd30612fc3ae,85fb392d25b2a8c56e054b2e3cf4b0ad,7be44aadbb607a7b01a4ffeb792fd36e
10,8b4f2bfe25c190c76d74ee59725a99e4,c5f3124ac85ffbb17d23593c96f96cb9,d1c55a74d360f72ccb9581e85a3ec08e
11,b80e06d0a89a7b417b648fc8056b4442,da05399168ba25410d90c05f8f603012,0c86d570723c4f38b59a5e9678887eac
12,bfe60c94647ba0ae7fb7da6f6508c42f,42ed3236c832fa436b51d774fda8f3cb,622e036c40d720a7bf557668980ea1ce
13,2905dd802e34908ca5fc64e3d08af1b6,e838fccf83d4b5ba0b5915bc74a66a1d,1c9968ab31b8a210c54ef761d36d8b8d
14,bd6784d49c4ca6b44c1e106ed032618e,17fb8562eb75c8f6745cacf164f9314b,de917fad4d201600ab0832d4625dc054
15,f6e3e8828d1d5e900ed12cfe99a86bfc,6ddfb4253f74fd12fb9e8dc9e7530c64,1df557b5c2319b8006f6da4817792d15
16,1c3c1fe065c9325cbfcab6722d6b9b39,1ad725c53a59666f85d84dbea616000f,636430b4495809e379c2623c22f95d59
17,7b77301b3eba03e9b47d927d212d64aa,343071a8c11157ff068bfcdbc0f76ca9,f3cdf9ea25856aaaaaf7d0ceec875bef
18,c2189022224390d6a8ee1f192214526e,71a66ea303504eb43f3369162d0a9307,b3853701d3e05b29f0e2c2bc0f85bd21
19,2577c90f6ee46adf9d3f7c16ba8db9c3,d9b54eebe6d08be027aa415a986b19f4,fb309a153bd6130905df294059e57c5d
20,753743ff6e00c61a67516723909f71d7,db0f36ba03d1c8fbec2cc96c3f8c0708,f5453bb85ab33f0f99e56b296293737e
