,train,val,test
0,TUPAC-TR-001,TUPAC-TR-428,TUPAC-TR-051
1,TUPAC-TR-006,TUPAC-TR-284,TUPAC-TR-488
2,TUPAC-TR-008,TUPAC-TR-205,TUPAC-TR-383
3,TUPAC-TR-009,TUPAC-TR-217,TUPAC-TR-058
4,TUPAC-TR-016,TUPAC-TR-453,TUPAC-TR-163
5,TUPAC-TR-017,TUPAC-TR-010,TUPAC-TR-404
6,TUPAC-TR-018,TUPAC-TR-214,TUPAC-TR-350
7,TUPAC-TR-020,TUPAC-TR-060,TUPAC-TR-014
8,TUPAC-TR-025,TUPAC-TR-269,TUPAC-TR-332
9,TUPAC-TR-028,TUPAC-TR-461,TUPAC-TR-299
10,TUPAC-TR-031,TUPAC-TR-481,TUPAC-TR-037
11,TUPAC-TR-035,TUPAC-TR-264,TUPAC-TR-184
12,TUPAC-TR-042,TUPAC-TR-363,TUPAC-TR-015
13,TUPAC-TR-049,TUPAC-TR-078,TUPAC-TR-130
14,TUPAC-TR-050,TUPAC-TR-436,TUPAC-TR-421
15,TUPAC-TR-052,TUPAC-TR-463,TUPAC-TR-480
16,TUPAC-TR-055,TUPAC-TR-378,TUPAC-TR-022
17,TUPAC-TR-056,TUPAC-TR-168,TUPAC-TR-329
18,TUPAC-TR-057,TUPAC-TR-307,TUPAC-TR-044
19,TUPAC-TR-061,TUPAC-TR-242,TUPAC-TR-302
20,TUPAC-TR-064,TUPAC-TR-405,TUPAC-TR-150
21,TUPAC-TR-066,TUPAC-TR-259,TUPAC-TR-129
22,TUPAC-TR-068,TUPAC-TR-109,TUPAC-TR-292
23,TUPAC-TR-070,TUPAC-TR-222,TUPAC-TR-263
24,TUPAC-TR-072,TUPAC-TR-390,TUPAC-TR-320
25,TUPAC-TR-079,TUPAC-TR-003,TUPAC-TR-322
26,TUPAC-TR-083,TUPAC-TR-293,TUPAC-TR-027
27,TUPAC-TR-085,TUPAC-TR-283,TUPAC-TR-303
28,TUPAC-TR-091,TUPAC-TR-364,TUPAC-TR-429
29,TUPAC-TR-094,TUPAC-TR-439,TUPAC-TR-382
30,TUPAC-TR-099,TUPAC-TR-434,TUPAC-TR-032
31,TUPAC-TR-100,TUPAC-TR-448,TUPAC-TR-414
32,TUPAC-TR-101,TUPAC-TR-478,TUPAC-TR-102
33,TUPAC-TR-105,TUPAC-TR-323,TUPAC-TR-500
34,TUPAC-TR-112,TUPAC-TR-424,TUPAC-TR-337
