,train,val,test
0,2,374,692
1,4,149,864
2,5,304,80
3,6,440,343
4,41,324,28
5,48,454,587
6,52,280,97
7,53,162,1019
8,57,337,69
9,64,13,31
10,77,741,492
11,84,879,369
12,96,696,999
13,98,528,49
14,100,449,627
15,104,131,998
16,107,771,148
17,110,393,969
18,116,424,509
19,119,746,309
20,147,682,1040
21,151,777,588
22,156,171,46
23,161,144,130
24,165,620,760
25,176,617,273
26,177,409,724
27,189,283,294
28,192,88,44
29,193,111,239
30,198,763,635
31,199,379,109
32,206,674,993
33,223,157,401
34,227,310,272
35,245,51,547
36,258,503,251
37,262,815,155
38,265,288,254
39,269,871,939
40,276,591,661
41,286,970,382
42,290,1036,556
43,302,949,1016
44,329,767,846
45,331,385,1029
46,334,62,861
47,338,1004,179
48,345,470,923
49,349,224,919
50,353,249,335
51,355,898,894
52,359,455,527
53,362,948,467
54,370,1046,982
55,371,905,282
56,380,757,876
57,383,714,772
58,387,1042,83
59,392,735,805
60,396,721,264
61,397,113,638
62,400,143,389
63,410,328,595
64,420,740,937
65,423,678,841
66,425,957,480
67,432,496,863
68,443,599,129
69,444,102,252
70,466,814,301
71,468,246,253
72,475,762,159
73,491,183,336
74,498,267,747
75,500,194,135
76,506,240,598
77,512,989,1011
78,518,838,303
79,524,274,1043
80,540,428,932
81,553,181,319
82,559,558,281
83,566,68,132
84,568,546,586
85,571,346,1023
86,575,257,27
87,582,706,233
88,590,992,672
89,601,899,693
90,603,686,363
91,604,564,34
92,606,214,722
93,614,21,38
94,619,388,357
95,621,508,726
96,623,514,720
97,640,545,822
98,641,1052,891
99,646,469,15
100,658,163,184
101,673,821,535
102,681,18,921
103,687,,426
104,695,,667
105,703,,991
106,728,,979
107,730,,7
108,743,,710
109,758,,457
110,764,,933
111,774,,684
112,782,,835
113,783,,442
114,794,,72
115,807,,823
116,809,,43
117,813,,361
118,816,,745
119,817,,391
120,828,,169
121,831,,459
122,834,,709
123,840,,63
124,842,,643
125,844,,562
126,847,,700
127,854,,704
128,865,,22
129,866,,1055
130,870,,117
131,872,,297
132,881,,977
133,888,,824
134,900,,657
135,904,,1006
136,910,,893
137,917,,859
138,918,,445
139,924,,153
140,927,,689
141,942,,471
142,953,,238
143,954,,121
144,959,,489
145,961,,375
146,966,,836
147,994,,637
148,996,,81
149,997,,973
150,1018,,350
151,1025,,517
152,1031,,946
153,1037,,1032
154,1038,,903
155,1049,,19
156,1051,,196
157,1,,172
158,3,,787
159,8,,437
160,10,,1057
161,11,,390
162,12,,874
163,14,,530
164,16,,668
165,17,,988
166,20,,928
167,23,,856
168,24,,548
169,26,,748
170,29,,826
171,32,,797
172,33,,1027
173,35,,1003
174,36,,697
175,37,,356
176,39,,936
177,40,,30
178,42,,725
179,50,,487
180,54,,785
181,55,,810
182,56,,916
183,58,,811
184,60,,166
185,65,,295
186,66,,364
187,67,,1012
188,70,,935
189,71,,629
190,73,,968
191,74,,690
192,75,,417
193,76,,801
194,78,,570
195,79,,372
196,82,,59
197,85,,291
198,86,,141
199,87,,105
200,89,,47
201,90,,134
202,91,,61
203,92,,1048
204,93,,429
205,94,,592
206,95,,909
207,99,,9
208,101,,
209,103,,
210,106,,
211,112,,
212,114,,
213,115,,
214,118,,
215,120,,
216,122,,
217,123,,
218,124,,
219,125,,
220,126,,
221,127,,
222,128,,
223,133,,
224,136,,
225,137,,
226,138,,
227,139,,
228,140,,
229,142,,
230,145,,
231,146,,
232,150,,
233,152,,
234,154,,
235,158,,
236,160,,
237,164,,
238,167,,
239,168,,
240,170,,
241,173,,
242,174,,
243,175,,
244,180,,
245,182,,
246,185,,
247,186,,
248,187,,
249,188,,
250,190,,
251,191,,
252,197,,
253,200,,
254,201,,
255,202,,
256,203,,
257,204,,
258,205,,
259,207,,
260,208,,
261,209,,
262,210,,
263,211,,
264,212,,
265,213,,
266,215,,
267,216,,
268,217,,
269,218,,
270,219,,
271,221,,
272,222,,
273,225,,
274,226,,
275,228,,
276,229,,
277,230,,
278,231,,
279,232,,
280,234,,
281,235,,
282,236,,
283,237,,
284,241,,
285,242,,
286,243,,
287,244,,
288,247,,
289,248,,
290,250,,
291,255,,
292,256,,
293,259,,
294,260,,
295,261,,
296,263,,
297,266,,
298,268,,
299,270,,
300,271,,
301,275,,
302,277,,
303,278,,
304,284,,
305,285,,
306,287,,
307,289,,
308,293,,
309,296,,
310,298,,
311,299,,
312,300,,
313,305,,
314,306,,
315,308,,
316,311,,
317,312,,
318,313,,
319,314,,
320,315,,
321,316,,
322,317,,
323,318,,
324,320,,
325,321,,
326,322,,
327,323,,
328,325,,
329,326,,
330,327,,
331,330,,
332,332,,
333,333,,
334,339,,
335,340,,
336,341,,
337,342,,
338,344,,
339,347,,
340,348,,
341,351,,
342,352,,
343,354,,
344,358,,
345,360,,
346,365,,
347,366,,
348,367,,
349,368,,
350,373,,
351,376,,
352,377,,
353,378,,
354,381,,
355,384,,
356,386,,
357,394,,
358,395,,
359,398,,
360,402,,
361,403,,
362,404,,
363,405,,
364,406,,
365,408,,
366,411,,
367,412,,
368,413,,
369,414,,
370,416,,
371,418,,
372,419,,
373,421,,
374,422,,
375,427,,
376,430,,
377,431,,
378,433,,
379,434,,
380,435,,
381,436,,
382,438,,
383,439,,
384,441,,
385,446,,
386,447,,
387,448,,
388,450,,
389,451,,
390,452,,
391,453,,
392,456,,
393,458,,
394,460,,
395,461,,
396,462,,
397,463,,
398,464,,
399,465,,
400,472,,
401,474,,
402,476,,
403,477,,
404,478,,
405,479,,
406,481,,
407,482,,
408,483,,
409,484,,
410,485,,
411,486,,
412,488,,
413,490,,
414,493,,
415,494,,
416,495,,
417,497,,
418,499,,
419,501,,
420,502,,
421,504,,
422,505,,
423,507,,
424,510,,
425,511,,
426,513,,
427,515,,
428,516,,
429,520,,
430,521,,
431,522,,
432,523,,
433,525,,
434,526,,
435,529,,
436,531,,
437,532,,
438,533,,
439,534,,
440,536,,
441,537,,
442,538,,
443,539,,
444,541,,
445,542,,
446,543,,
447,544,,
448,549,,
449,550,,
450,551,,
451,552,,
452,554,,
453,555,,
454,557,,
455,560,,
456,561,,
457,563,,
458,565,,
459,567,,
460,569,,
461,572,,
462,573,,
463,574,,
464,576,,
465,577,,
466,578,,
467,579,,
468,580,,
469,581,,
470,583,,
471,584,,
472,585,,
473,589,,
474,593,,
475,594,,
476,596,,
477,597,,
478,600,,
479,602,,
480,605,,
481,608,,
482,609,,
483,610,,
484,611,,
485,612,,
486,613,,
487,615,,
488,616,,
489,618,,
490,622,,
491,624,,
492,625,,
493,626,,
494,628,,
495,630,,
496,631,,
497,632,,
498,633,,
499,634,,
500,636,,
501,639,,
502,642,,
503,644,,
504,645,,
505,647,,
506,648,,
507,649,,
508,650,,
509,651,,
510,652,,
511,653,,
512,654,,
513,655,,
514,656,,
515,659,,
516,660,,
517,662,,
518,663,,
519,664,,
520,665,,
521,666,,
522,669,,
523,670,,
524,671,,
525,675,,
526,676,,
527,677,,
528,679,,
529,680,,
530,683,,
531,685,,
532,688,,
533,691,,
534,694,,
535,698,,
536,699,,
537,701,,
538,702,,
539,705,,
540,707,,
541,708,,
542,711,,
543,713,,
544,715,,
545,716,,
546,717,,
547,718,,
548,719,,
549,723,,
550,727,,
551,729,,
552,731,,
553,732,,
554,733,,
555,734,,
556,736,,
557,737,,
558,738,,
559,739,,
560,742,,
561,744,,
562,749,,
563,750,,
564,751,,
565,752,,
566,753,,
567,754,,
568,755,,
569,756,,
570,759,,
571,761,,
572,765,,
573,766,,
574,768,,
575,769,,
576,770,,
577,773,,
578,775,,
579,776,,
580,778,,
581,779,,
582,780,,
583,781,,
584,784,,
585,786,,
586,788,,
587,789,,
588,790,,
589,791,,
590,792,,
591,793,,
592,795,,
593,796,,
594,798,,
595,799,,
596,800,,
597,802,,
598,804,,
599,806,,
600,808,,
601,812,,
602,819,,
603,820,,
604,825,,
605,827,,
606,829,,
607,830,,
608,832,,
609,833,,
610,837,,
611,839,,
612,843,,
613,845,,
614,848,,
615,849,,
616,850,,
617,851,,
618,852,,
619,853,,
620,855,,
621,857,,
622,858,,
623,860,,
624,862,,
625,867,,
626,868,,
627,869,,
628,873,,
629,875,,
630,877,,
631,880,,
632,882,,
633,883,,
634,884,,
635,885,,
636,886,,
637,887,,
638,889,,
639,890,,
640,892,,
641,895,,
642,896,,
643,897,,
644,901,,
645,902,,
646,906,,
647,907,,
648,908,,
649,911,,
650,912,,
651,913,,
652,914,,
653,915,,
654,920,,
655,922,,
656,925,,
657,926,,
658,929,,
659,930,,
660,931,,
661,938,,
662,940,,
663,941,,
664,943,,
665,944,,
666,945,,
667,947,,
668,950,,
669,951,,
670,952,,
671,955,,
672,956,,
673,958,,
674,960,,
675,962,,
676,963,,
677,964,,
678,965,,
679,967,,
680,971,,
681,972,,
682,974,,
683,975,,
684,976,,
685,978,,
686,980,,
687,981,,
688,983,,
689,984,,
690,985,,
691,986,,
692,987,,
693,990,,
694,995,,
695,1000,,
696,1001,,
697,1002,,
698,1005,,
699,1007,,
700,1008,,
701,1009,,
702,1010,,
703,1013,,
704,1014,,
705,1015,,
706,1017,,
707,1020,,
708,1021,,
709,1022,,
710,1024,,
711,1026,,
712,1028,,
713,1030,,
