,train,val,test
0,2,343,661
1,4,48,237
2,5,601,132
3,31,646,816
4,41,193,486
5,42,1031,991
6,44,879,553
7,49,614,265
8,53,282,900
9,54,432,110
10,57,641,504
11,64,269,771
12,69,761,743
13,77,161,80
14,84,498,575
15,96,145,546
16,97,393,703
17,102,13,58
18,104,959,204
19,105,999,1019
20,107,954,362
21,109,119,881
22,130,323,468
23,148,681,6
24,149,1025,192
25,151,381,294
26,155,868,784
27,156,718,98
28,162,190,19
29,165,55,272
30,176,755,425
31,177,687,100
32,189,180,322
33,198,438,998
34,206,680,254
35,209,388,730
36,210,266,807
37,219,773,866
38,223,306,621
39,227,515,309
40,233,694,942
41,242,514,239
42,243,534,28
43,244,989,262
44,245,182,476
45,251,714,939
46,258,452,46
47,259,153,131
48,273,1033,66
49,276,977,783
50,280,358,1018
51,286,720,374
52,289,745,760
53,290,185,87
54,302,1027,739
55,304,824,829
56,317,981,651
57,324,1011,412
58,329,92,75
59,331,67,268
60,334,634,632
61,337,187,295
62,338,451,628
63,345,721,626
64,349,973,889
65,353,873,790
66,355,241,925
67,359,376,34
68,360,166,638
69,369,891,596
70,370,855,15
71,371,117,697
72,380,967,65
73,383,202,992
74,387,946,497
75,392,595,974
76,396,649,548
77,397,583,418
78,400,293,740
79,401,140,441
80,410,941,7
81,419,73,655
82,420,120,501
83,423,368,316
84,424,493,404
85,440,937,270
86,443,495,592
87,449,450,1053
88,454,346,459
89,466,113,799
90,475,736,136
91,481,570,597
92,485,479,170
93,489,557,1044
94,491,706,406
95,492,281,167
96,500,22,173
97,506,710,1039
98,509,804,853
99,512,577,725
100,518,379,859
101,524,271,378
102,528,664,569
103,540,,849
104,547,,558
105,556,,711
106,559,,1047
107,566,,444
108,568,,467
109,571,,863
110,572,,141
111,573,,1029
112,582,,21
113,584,,701
114,587,,613
115,588,,382
116,590,,447
117,603,,1007
118,604,,1049
119,623,,285
120,625,,487
121,627,,508
122,635,,18
123,640,,398
124,642,,847
125,650,,678
126,673,,887
127,692,,373
128,695,,461
129,696,,137
130,724,,314
131,728,,525
132,741,,986
133,746,,843
134,764,,675
135,768,,972
136,774,,968
137,777,,926
138,782,,357
139,792,,963
140,794,,654
141,809,,203
142,813,,916
143,814,,719
144,817,,610
145,828,,786
146,831,,416
147,832,,908
148,834,,763
149,840,,85
150,846,,585
151,854,,299
152,856,,47
153,864,,191
154,865,,394
155,870,,780
156,872,,657
157,874,,923
158,875,,762
159,883,,437
160,888,,1006
161,897,,732
162,904,,160
163,910,,291
164,917,,663
165,918,,332
166,924,,417
167,927,,150
168,935,,114
169,961,,390
170,966,,361
171,969,,63
172,982,,503
173,993,,749
174,994,,629
175,996,,363
176,997,,901
177,1014,,9
178,1016,,838
179,1024,,531
180,1037,,283
181,1038,,962
182,1040,,375
183,1046,,14
184,1051,,797
185,1,,76
186,3,,330
187,8,,667
188,10,,439
189,11,,921
190,12,,70
191,16,,214
192,17,,914
193,20,,201
194,23,,1004
195,24,,670
196,26,,188
197,27,,152
198,29,,436
199,30,,912
200,32,,819
201,33,,579
202,35,,505
203,36,,248
204,37,,825
205,38,,116
206,39,,808
207,40,,168
208,43,,
209,50,,
210,51,,
211,52,,
212,56,,
213,59,,
214,60,,
215,61,,
216,62,,
217,68,,
218,71,,
219,72,,
220,74,,
221,78,,
222,79,,
223,81,,
224,82,,
225,83,,
226,86,,
227,88,,
228,89,,
229,90,,
230,91,,
231,93,,
232,94,,
233,95,,
234,99,,
235,101,,
236,103,,
237,106,,
238,111,,
239,112,,
240,115,,
241,118,,
242,121,,
243,122,,
244,123,,
245,124,,
246,125,,
247,126,,
248,127,,
249,128,,
250,129,,
251,133,,
252,134,,
253,135,,
254,138,,
255,139,,
256,142,,
257,143,,
258,144,,
259,146,,
260,147,,
261,154,,
262,157,,
263,158,,
264,159,,
265,163,,
266,164,,
267,169,,
268,171,,
269,172,,
270,174,,
271,175,,
272,179,,
273,181,,
274,183,,
275,184,,
276,186,,
277,194,,
278,196,,
279,197,,
280,199,,
281,200,,
282,205,,
283,207,,
284,208,,
285,211,,
286,212,,
287,213,,
288,215,,
289,216,,
290,217,,
291,218,,
292,221,,
293,222,,
294,224,,
295,225,,
296,226,,
297,228,,
298,229,,
299,230,,
300,231,,
301,232,,
302,234,,
303,235,,
304,236,,
305,238,,
306,240,,
307,246,,
308,247,,
309,249,,
310,250,,
311,252,,
312,253,,
313,255,,
314,256,,
315,257,,
316,260,,
317,261,,
318,263,,
319,264,,
320,267,,
321,274,,
322,275,,
323,277,,
324,278,,
325,284,,
326,287,,
327,288,,
328,296,,
329,297,,
330,298,,
331,300,,
332,301,,
333,303,,
334,305,,
335,308,,
336,310,,
337,311,,
338,312,,
339,313,,
340,315,,
341,318,,
342,319,,
343,320,,
344,321,,
345,325,,
346,326,,
347,327,,
348,328,,
349,333,,
350,335,,
351,336,,
352,339,,
353,340,,
354,341,,
355,342,,
356,344,,
357,347,,
358,348,,
359,350,,
360,351,,
361,352,,
362,354,,
363,356,,
364,364,,
365,365,,
366,366,,
367,367,,
368,372,,
369,377,,
370,384,,
371,385,,
372,386,,
373,389,,
374,391,,
375,395,,
376,402,,
377,403,,
378,405,,
379,408,,
380,409,,
381,411,,
382,413,,
383,414,,
384,421,,
385,422,,
