,train,val,test
0,BRACS_745,BRACS_1608,BRACS_1401
1,BRACS_760,BRACS_1003668,BRACS_1275
2,BRACS_1241,BRACS_1593,BRACS_1782
3,BRACS_1242,BRACS_1405,BRACS_1917
4,BRACS_1244,BRACS_1273,BRACS_3310
5,BRACS_1248,BRACS_1843,BRACS_1591
6,BRACS_1249,BRACS_1904,BRACS_1665
7,BRACS_1251,BRACS_1596,BRACS_1003730
8,BRACS_1253,BRACS_3309,BRACS_1267
9,BRACS_1255,BRACS_1585,BRACS_1614
10,BRACS_1259,BRACS_1974,BRACS_1269
11,BRACS_1270,BRACS_1881,BRACS_1869
12,BRACS_1274,BRACS_1603,BRACS_1003707
13,BRACS_1318,BRACS_1958,BRACS_1336
14,BRACS_1320,BRACS_3334,BRACS_1783
15,BRACS_1321,BRACS_1003685,BRACS_1403
16,BRACS_1322,BRACS_1329,BRACS_3300
17,BRACS_1324,BRACS_758,BRACS_3296
18,BRACS_1325,BRACS_3322,BRACS_1620
19,BRACS_1327,BRACS_3295,BRACS_1940
20,BRACS_1335,BRACS_3336,BRACS_1508
21,BRACS_1337,BRACS_3282,BRACS_1003671
22,BRACS_1338,BRACS_1946,BRACS_1003700
23,BRACS_1370,BRACS_1961,BRACS_1003734
24,BRACS_1378,BRACS_1914,BRACS_1003715
25,BRACS_1385,BRACS_1845,BRACS_1326
26,BRACS_1386,BRACS_1968,BRACS_1839
27,BRACS_1404,BRACS_1895,BRACS_1408
28,BRACS_1409,BRACS_1971,BRACS_3268
29,BRACS_1480,BRACS_1863,BRACS_761
30,BRACS_1485,BRACS_1944,BRACS_1786
31,BRACS_1493,BRACS_1943,BRACS_1583
32,BRACS_1495,BRACS_1922,BRACS_1902
33,BRACS_1498,BRACS_1955,BRACS_1618
34,BRACS_1507,BRACS_1911,BRACS_1483
35,BRACS_1511,BRACS_755,BRACS_1893
36,BRACS_1513,BRACS_1293,BRACS_1964
37,BRACS_1581,BRACS_1950,BRACS_1296
38,BRACS_1582,BRACS_738,BRACS_1659
39,BRACS_1594,BRACS_1491,BRACS_1655
40,BRACS_1605,BRACS_3289,BRACS_1841
