,train,val,test
0,BRACS_745,BRACS_3283,BRACS_1631
1,BRACS_760,BRACS_3271,BRACS_3312
2,BRACS_761,BRACS_1772,BRACS_1003671
3,BRACS_1242,BRACS_3334,BRACS_3309
4,BRACS_1248,BRACS_3281,BRACS_1273
5,BRACS_1249,BRACS_1960,BRACS_758
6,BRACS_1251,BRACS_2004,BRACS_3324
7,BRACS_1253,BRACS_1669,BRACS_1259
8,BRACS_1255,BRACS_1655,BRACS_3279
9,BRACS_1318,BRACS_1833,BRACS_1847
10,BRACS_1321,BRACS_1241,BRACS_1003734
11,BRACS_1322,BRACS_1320,BRACS_1423
12,BRACS_1324,BRACS_3269,BRACS_3336
13,BRACS_1329,BRACS_1274,BRACS_1327
14,BRACS_1336,BRACS_1832,BRACS_1906
15,BRACS_1338,BRACS_1821,BRACS_1890
16,BRACS_1370,BRACS_1003685,BRACS_1842
17,BRACS_1408,BRACS_1837,BRACS_1851
18,BRACS_1480,BRACS_1581,BRACS_1003725
19,BRACS_1483,BRACS_1918,BRACS_1634
20,BRACS_1485,BRACS_1609,BRACS_1870
21,BRACS_1493,BRACS_2005,BRACS_1846
22,BRACS_1508,BRACS_1580,BRACS_1839
23,BRACS_1511,BRACS_1003721,BRACS_1880
24,BRACS_1582,BRACS_773,BRACS_3270
25,BRACS_1583,BRACS_1003709,BRACS_1240
26,BRACS_1593,BRACS_1289,BRACS_1325
27,BRACS_1603,BRACS_1817,BRACS_3272
28,BRACS_1605,BRACS_1394,BRACS_1633
29,BRACS_1612,BRACS_1635,BRACS_1787
30,BRACS_1620,BRACS_3289,BRACS_265
31,BRACS_1640,BRACS_3305,BRACS_1642
32,BRACS_1656,BRACS_1487,BRACS_1592
33,BRACS_1659,BRACS_1003698,BRACS_1993
34,BRACS_1660,BRACS_1003722,BRACS_1270
35,BRACS_1661,BRACS_1506,BRACS_1783
36,BRACS_1664,BRACS_2007,BRACS_1946
37,BRACS_1665,BRACS_1943,BRACS_1952
38,BRACS_1666,BRACS_1941,BRACS_1335
39,BRACS_1668,BRACS_1840,BRACS_1914
40,BRACS_1779,BRACS_1931,BRACS_1337
41,BRACS_1784,BRACS_1897,BRACS_1244
42,BRACS_1796,BRACS_1888,BRACS_1793
43,BRACS_1841,BRACS_1238,BRACS_1495
44,BRACS_1866,BRACS_3302,BRACS_1638
45,BRACS_1869,BRACS_1641,BRACS_1358
46,BRACS_1879,BRACS_1261,BRACS_1231
47,BRACS_1893,BRACS_1386,BRACS_738
48,BRACS_1900,BRACS_3292,BRACS_1003684
49,BRACS_1901,BRACS_1825,BRACS_1003678
50,BRACS_1902,BRACS_1003694,BRACS_311
51,BRACS_1904,BRACS_1877,BRACS_747
52,BRACS_1905,BRACS_1983,BRACS_1827
53,BRACS_1924,BRACS_1912,BRACS_3320
54,BRACS_1948,,BRACS_1406
55,BRACS_1961,,BRACS_1652
56,BRACS_1962,,BRACS_283
57,BRACS_1964,,BRACS_3293
58,BRACS_1965,,BRACS_3316
59,BRACS_1966,,BRACS_1984
60,BRACS_1967,,BRACS_3291
61,BRACS_1972,,BRACS_1587
62,BRACS_1986,,BRACS_1003677
63,BRACS_1988,,BRACS_297
64,BRACS_1989,,BRACS_750
65,BRACS_1994,,BRACS_1362
66,BRACS_2000,,BRACS_1829
67,BRACS_2002,,BRACS_1235
68,BRACS_3268,,BRACS_734
69,BRACS_3274,,BRACS_1003703
70,BRACS_3276,,BRACS_3285
71,BRACS_3311,,BRACS_1257
72,BRACS_3335,,BRACS_1799
73,BRACS_1003658,,BRACS_1815
74,BRACS_1003659,,BRACS_1250
75,BRACS_1003668,,BRACS_1916
76,BRACS_1003669,,BRACS_1975
77,BRACS_1003672,,BRACS_1954
78,BRACS_1003686,,BRACS_1512
79,BRACS_1003700,,BRACS_1509
80,BRACS_1003706,,BRACS_1811
81,BRACS_1003710,,BRACS_1247
82,BRACS_1003724,,BRACS_1927
83,BRACS_1003730,,BRACS_1921
84,BRACS_264,,BRACS_1929
85,BRACS_1330,,BRACS_1919
