,train,val,test
0,patient_064_node_2,slide_124,patient_034_node_0
1,slide_364,patient_059_node_3,patient_015_node_3
2,patient_073_node_0,patient_083_node_1,slide_146
3,slide_4,slide_31,slide_13
4,slide_380,slide_5,slide_126
5,patient_046_node_0,patient_008_node_3,slide_49
6,patient_078_node_0,patient_031_node_4,patient_096_node_1
7,patient_047_node_1,patient_049_node_0,slide_53
8,patient_099_node_1,patient_013_node_0,patient_035_node_3
9,slide_27,patient_074_node_1,patient_081_node_3
10,patient_078_node_3,patient_078_node_2,patient_020_node_0
11,patient_028_node_4,slide_158,slide_336
12,patient_079_node_4,slide_159,slide_346
13,slide_325,patient_098_node_3,slide_331
14,patient_098_node_2,patient_007_node_0,patient_086_node_1
15,slide_295,patient_059_node_1,patient_000_node_2
16,slide_50,patient_050_node_2,slide_388
17,patient_041_node_1,patient_030_node_3,patient_014_node_0
18,slide_115,patient_006_node_1,patient_091_node_1
19,patient_093_node_3,slide_116,patient_032_node_0
20,slide_150,patient_079_node_3,patient_009_node_3
21,patient_052_node_4,slide_119,patient_064_node_4
22,patient_056_node_1,slide_387,slide_311
23,patient_061_node_0,slide_15,patient_072_node_3
24,slide_156,patient_071_node_1,patient_063_node_1
25,slide_323,patient_082_node_0,patient_037_node_3
26,patient_087_node_4,patient_044_node_2,patient_044_node_1
27,patient_073_node_4,slide_357,patient_055_node_1
28,patient_025_node_3,slide_45,slide_68
29,patient_060_node_4,patient_037_node_0,slide_143
30,patient_095_node_1,patient_054_node_2,patient_092_node_2
31,slide_98,patient_030_node_0,patient_093_node_0
32,patient_070_node_0,patient_042_node_1,patient_065_node_1
33,patient_024_node_3,slide_140,slide_69
34,patient_025_node_0,patient_035_node_0,patient_059_node_4
35,patient_090_node_0,slide_82,slide_86
36,slide_10,patient_024_node_0,slide_120
37,patient_025_node_4,slide_51,slide_81
38,slide_149,patient_085_node_3,slide_28
39,slide_33,patient_023_node_1,slide_107
40,patient_089_node_4,patient_047_node_3,slide_24
41,slide_34,slide_284,patient_047_node_0
42,patient_012_node_1,patient_031_node_2,patient_050_node_1
43,slide_131,patient_056_node_0,patient_011_node_1
44,slide_302,slide_358,slide_273
45,slide_72,patient_048_node_3,slide_360
46,slide_74,patient_009_node_4,slide_46
47,patient_099_node_0,patient_025_node_2,slide_332
48,patient_079_node_2,patient_042_node_2,patient_058_node_3
49,slide_352,slide_101,patient_001_node_3
50,slide_362,slide_354,slide_123
51,slide_289,patient_077_node_3,patient_037_node_4
52,slide_317,patient_084_node_1,slide_1
53,slide_71,slide_392,patient_078_node_4
54,slide_38,patient_006_node_3,slide_328
55,slide_80,patient_085_node_1,slide_128
56,slide_61,patient_092_node_4,slide_7
57,patient_043_node_4,slide_261,patient_016_node_2
58,slide_20,slide_232,patient_040_node_3
59,patient_090_node_2,slide_344,slide_327
60,slide_16,patient_029_node_2,patient_057_node_2
61,patient_088_node_0,slide_253,patient_031_node_0
62,patient_075_node_0,patient_005_node_3,slide_110
63,slide_396,patient_096_node_0,slide_132
64,patient_001_node_0,slide_200,patient_090_node_1
65,slide_90,patient_017_node_2,slide_97
66,patient_093_node_2,slide_170,patient_048_node_2
67,slide_57,slide_167,patient_097_node_2
68,patient_054_node_3,slide_191,patient_068_node_0
69,slide_154,patient_029_node_1,slide_12
70,patient_011_node_2,slide_244,patient_003_node_4
71,patient_071_node_3,slide_310,patient_067_node_1
72,slide_73,slide_218,slide_67
73,patient_005_node_1,patient_015_node_2,slide_87
74,patient_058_node_1,slide_239,slide_114
75,patient_043_node_2,patient_009_node_1,patient_002_node_2
76,patient_075_node_3,patient_099_node_4,patient_048_node_4
77,patient_036_node_1,slide_318,patient_082_node_4
78,patient_066_node_1,patient_051_node_1,patient_021_node_2
79,patient_053_node_3,slide_260,patient_056_node_4
80,slide_384,patient_034_node_3,slide_56
81,patient_001_node_1,patient_089_node_3,patient_034_node_1
82,patient_035_node_1,patient_086_node_0,patient_002_node_1
83,slide_292,patient_081_node_4,patient_040_node_4
84,patient_046_node_2,patient_013_node_3,patient_071_node_0
85,patient_010_node_2,patient_051_node_0,patient_018_node_0
86,patient_054_node_1,slide_299,patient_058_node_4
87,slide_41,slide_230,patient_086_node_2
88,slide_355,slide_374,slide_144
89,slide_11,patient_045_node_4,patient_089_node_2
90,slide_111,,patient_030_node_2
91,slide_285,,slide_94
92,patient_071_node_2,,patient_043_node_1
93,patient_074_node_3,,patient_045_node_2
94,patient_054_node_4,,patient_056_node_3
95,patient_083_node_2,,patient_009_node_2
96,patient_037_node_2,,slide_52
97,patient_088_node_2,,slide_301
98,patient_005_node_0,,slide_341
99,patient_060_node_2,,patient_014_node_1
100,patient_083_node_4,,patient_041_node_3
101,slide_2,,patient_033_node_0
102,patient_031_node_1,,patient_055_node_4
103,patient_082_node_1,,slide_42
104,patient_078_node_1,,patient_000_node_3
105,patient_087_node_3,,patient_002_node_0
106,patient_083_node_3,,patient_042_node_4
107,slide_78,,patient_095_node_2
108,patient_007_node_3,,slide_350
109,slide_54,,slide_104
110,slide_378,,patient_093_node_1
111,patient_074_node_2,,patient_067_node_3
112,patient_040_node_0,,patient_096_node_4
113,patient_066_node_0,,slide_390
114,patient_030_node_1,,patient_060_node_0
115,patient_034_node_2,,slide_296
116,patient_047_node_4,,patient_097_node_1
117,patient_006_node_0,,patient_070_node_3
118,patient_099_node_2,,slide_280
119,patient_019_node_4,,patient_064_node_3
120,patient_035_node_2,,slide_368
121,slide_77,,slide_233
122,patient_085_node_2,,slide_249
123,slide_139,,patient_042_node_3
124,patient_086_node_3,,slide_291
125,patient_062_node_4,,patient_050_node_4
126,slide_298,,slide_377
127,slide_64,,patient_014_node_2
128,patient_036_node_0,,patient_081_node_2
129,slide_96,,slide_180
130,slide_65,,patient_096_node_3
131,patient_079_node_1,,patient_080_node_0
132,slide_393,,patient_069_node_1
133,patient_070_node_4,,patient_077_node_2
134,slide_117,,patient_093_node_4
135,slide_79,,patient_069_node_3
136,patient_067_node_0,,patient_073_node_1
137,slide_133,,patient_075_node_4
138,patient_058_node_2,,patient_094_node_2
139,slide_397,,slide_270
140,slide_134,,slide_247
141,slide_32,,patient_080_node_3
142,patient_039_node_3,,slide_237
143,slide_21,,slide_286
144,patient_055_node_0,,patient_017_node_1
145,patient_095_node_3,,slide_208
146,slide_109,,patient_018_node_2
147,patient_061_node_3,,patient_094_node_0
148,patient_003_node_2,,slide_176
149,slide_88,,slide_316
150,patient_051_node_3,,patient_021_node_1
151,slide_136,,slide_175
152,slide_306,,slide_262
153,patient_001_node_2,,slide_258
154,slide_37,,slide_194
155,patient_013_node_1,,patient_047_node_2
156,patient_023_node_0,,patient_052_node_2
157,patient_004_node_0,,patient_027_node_0
158,patient_053_node_0,,patient_063_node_0
159,slide_370,,slide_343
160,patient_091_node_0,,slide_359
161,slide_121,,patient_006_node_4
162,patient_053_node_4,,patient_022_node_4
163,patient_003_node_3,,patient_092_node_0
164,patient_032_node_4,,slide_217
165,slide_153,,slide_165
166,slide_30,,patient_024_node_1
167,patient_050_node_3,,patient_046_node_4
168,slide_155,,patient_028_node_1
169,patient_069_node_4,,slide_182
170,patient_065_node_2,,slide_330
171,patient_041_node_2,,slide_386
172,slide_381,,slide_174
173,patient_061_node_1,,slide_214
174,patient_084_node_4,,patient_060_node_3
175,patient_010_node_3,,slide_351
176,slide_339,,patient_051_node_2
177,patient_004_node_1,,slide_160
178,slide_9,,slide_267
179,patient_077_node_1,,
180,patient_046_node_1,,
181,patient_054_node_0,,
182,slide_92,,
183,patient_088_node_3,,
184,patient_011_node_3,,
185,slide_26,,
186,slide_138,,
187,patient_094_node_3,,
188,patient_022_node_2,,
189,slide_294,,
190,slide_40,,
191,slide_19,,
192,patient_050_node_0,,
193,patient_057_node_0,,
194,patient_040_node_1,,
195,patient_000_node_4,,
196,patient_039_node_2,,
197,patient_022_node_3,,
198,slide_60,,
199,patient_008_node_4,,
200,slide_319,,
201,slide_23,,
202,slide_102,,
203,patient_058_node_0,,
204,patient_064_node_1,,
205,slide_100,,
206,slide_14,,
207,slide_48,,
208,slide_93,,
209,slide_29,,
210,slide_312,,
211,patient_070_node_2,,
212,slide_125,,
213,patient_061_node_2,,
214,patient_067_node_2,,
215,patient_082_node_3,,
216,slide_130,,
217,patient_098_node_0,,
218,slide_70,,
219,patient_060_node_1,,
220,patient_081_node_0,,
221,patient_074_node_0,,
222,patient_059_node_2,,
223,patient_055_node_2,,
224,patient_008_node_2,,
225,patient_007_node_1,,
226,slide_345,,
227,patient_075_node_2,,
228,patient_001_node_4,,
229,slide_313,,
230,patient_077_node_0,,
231,patient_036_node_2,,
232,patient_089_node_1,,
233,slide_108,,
234,slide_314,,
235,patient_075_node_1,,
236,patient_042_node_0,,
237,slide_395,,
238,patient_057_node_1,,
239,patient_031_node_3,,
240,patient_023_node_2,,
241,slide_389,,
242,patient_027_node_1,,
243,patient_016_node_3,,
244,slide_287,,
245,slide_329,,
246,slide_43,,
247,patient_043_node_3,,
248,patient_003_node_0,,
249,slide_282,,
250,patient_017_node_0,,
251,slide_347,,
252,patient_010_node_1,,
253,slide_8,,
254,patient_000_node_0,,
255,slide_356,,
256,slide_394,,
257,patient_033_node_4,,
258,patient_085_node_4,,
259,slide_145,,
260,patient_082_node_2,,
261,slide_141,,
262,slide_322,,
263,slide_148,,
264,patient_032_node_3,,
265,patient_068_node_3,,
266,slide_279,,
267,patient_085_node_0,,
268,slide_369,,
269,slide_365,,
270,slide_106,,
271,patient_098_node_4,,
272,patient_027_node_3,,
273,patient_057_node_3,,
274,slide_76,,
275,slide_84,,
276,patient_084_node_0,,
277,patient_002_node_3,,
278,patient_035_node_4,,
279,patient_090_node_3,,
280,slide_113,,
281,slide_375,,
282,slide_44,,
283,patient_070_node_1,,
284,patient_032_node_2,,
285,patient_011_node_4,,
286,slide_307,,
287,slide_85,,
288,slide_276,,
289,patient_095_node_4,,
290,slide_17,,
291,patient_036_node_4,,
292,patient_071_node_4,,
293,slide_315,,
294,slide_288,,
295,slide_137,,
296,slide_59,,
297,patient_004_node_3,,
298,patient_012_node_2,,
299,patient_043_node_0,,
300,patient_098_node_1,,
301,patient_025_node_1,,
302,patient_039_node_4,,
303,patient_004_node_2,,
304,slide_372,,
305,patient_007_node_2,,
306,patient_076_node_0,,
307,slide_122,,
308,slide_293,,
309,slide_152,,
310,patient_005_node_2,,
311,slide_399,,
312,slide_151,,
313,slide_89,,
314,patient_029_node_4,,
315,slide_349,,
316,patient_087_node_2,,
317,slide_309,,
318,patient_034_node_4,,
319,patient_023_node_4,,
320,patient_055_node_3,,
321,patient_003_node_1,,
322,patient_049_node_3,,
323,slide_147,,
324,patient_023_node_3,,
325,slide_290,,
326,patient_016_node_4,,
327,slide_6,,
328,patient_056_node_2,,
329,slide_95,,
330,slide_105,,
331,patient_044_node_0,,
332,slide_36,,
333,slide_39,,
334,slide_376,,
335,slide_277,,
336,slide_129,,
337,patient_038_node_1,,
338,patient_038_node_3,,
339,slide_91,,
340,slide_398,,
341,slide_112,,
342,patient_059_node_0,,
343,slide_103,,
344,slide_55,,
345,slide_62,,
346,slide_66,,
347,slide_3,,
348,slide_22,,
349,patient_065_node_3,,
350,slide_58,,
351,slide_324,,
352,slide_83,,
353,patient_012_node_4,,
354,patient_066_node_4,,
355,slide_367,,
356,patient_049_node_4,,
357,patient_068_node_2,,
358,patient_000_node_1,,
359,slide_142,,
360,slide_305,,
361,patient_002_node_4,,
362,slide_63,,
363,slide_326,,
364,patient_012_node_3,,
365,patient_053_node_2,,
366,slide_35,,
367,patient_090_node_4,,
368,patient_041_node_4,,
369,slide_157,,
370,slide_127,,
371,patient_089_node_0,,
372,patient_020_node_3,,
373,slide_75,,
374,patient_015_node_0,,
375,slide_118,,
376,slide_47,,
377,slide_135,,
378,slide_275,,
379,patient_057_node_4,,
380,slide_18,,
381,slide_99,,
382,patient_073_node_2,,
383,slide_304,,
384,patient_083_node_0,,
385,patient_099_node_3,,
386,slide_25,,
387,patient_053_node_1,,
388,patient_008_node_1,,
389,patient_079_node_0,,
390,slide_168,,
391,slide_271,,
392,slide_266,,
393,slide_162,,
394,patient_027_node_2,,
395,patient_041_node_0,,
396,patient_021_node_4,,
397,slide_240,,
398,slide_257,,
399,slide_252,,
400,patient_033_node_1,,
401,patient_081_node_1,,
402,slide_236,,
403,slide_206,,
404,patient_024_node_4,,
405,slide_265,,
406,patient_072_node_4,,
407,slide_210,,
408,slide_181,,
409,slide_179,,
410,patient_027_node_4,,
411,patient_005_node_4,,
412,slide_190,,
413,patient_010_node_4,,
414,patient_013_node_4,,
415,slide_382,,
416,slide_272,,
417,slide_211,,
418,patient_063_node_2,,
419,patient_016_node_1,,
420,patient_088_node_4,,
421,slide_228,,
422,patient_011_node_0,,
423,patient_086_node_4,,
424,slide_199,,
425,slide_212,,
426,slide_226,,
427,slide_205,,
428,slide_171,,
429,slide_234,,
430,slide_243,,
431,patient_020_node_4,,
432,patient_084_node_2,,
433,slide_184,,
434,patient_021_node_3,,
435,patient_028_node_0,,
436,slide_185,,
437,patient_092_node_1,,
438,slide_337,,
439,slide_196,,
440,slide_251,,
441,slide_215,,
442,slide_188,,
443,patient_077_node_4,,
444,patient_080_node_2,,
445,patient_074_node_4,,
446,slide_263,,
447,slide_255,,
448,patient_052_node_0,,
449,patient_069_node_0,,
450,patient_018_node_4,,
451,patient_092_node_3,,
452,patient_095_node_0,,
453,patient_033_node_3,,
454,slide_221,,
455,patient_009_node_0,,
456,patient_017_node_4,,
457,patient_017_node_3,,
458,slide_256,,
459,slide_192,,
460,patient_066_node_2,,
461,patient_040_node_2,,
462,slide_348,,
463,patient_084_node_3,,
464,slide_342,,
465,slide_169,,
466,slide_203,,
467,slide_248,,
468,slide_242,,
469,patient_046_node_3,,
470,patient_019_node_1,,
471,slide_391,,
472,patient_013_node_2,,
473,patient_004_node_4,,
474,slide_363,,
475,slide_220,,
476,patient_088_node_1,,
477,patient_097_node_0,,
478,patient_026_node_4,,
479,patient_026_node_0,,
480,patient_051_node_4,,
481,slide_163,,
482,slide_245,,
483,patient_062_node_2,,
484,patient_049_node_1,,
485,patient_021_node_0,,
486,slide_231,,
487,patient_038_node_0,,
488,patient_015_node_1,,
489,slide_283,,
490,slide_353,,
491,slide_209,,
492,patient_048_node_0,,
493,patient_094_node_4,,
494,slide_333,,
495,slide_195,,
496,patient_076_node_3,,
497,patient_072_node_2,,
498,slide_241,,
499,slide_166,,
500,patient_062_node_3,,
501,slide_193,,
502,slide_187,,
503,slide_183,,
504,slide_227,,
505,slide_334,,
506,patient_087_node_0,,
507,slide_223,,
508,patient_014_node_4,,
